episode,close distance,near_miss,MSE,Reward,Avg reward,time,timeframe,steps,progress_pct,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
29,0,10,0.000,24.820,16.807,319,419,1306,100.0,1,24.670(30.838%)(0.500m),51.675(51.675%)(3.394m),71.000(71.000%)(5.464m),55.000(55.000%)(3.750m),29.000(36.250%)(0.964m),17.453(43.633%)(0.799m),26.000(65.000%)(1.714m),631.617,6103.357
30,104,0,0.000,21.460,16.962,447,419,1306,100.0,1,32.000(40.000%)(1.286m),49.000(49.000%)(3.107m),72.000(72.000%)(5.571m),39.191(39.191%)(2.056m),18.375(22.969%)(0.000m),26.000(65.000%)(1.714m),12.909(32.273%)(0.312m),521.595,6020.094
31,0,10,0.000,25.260,17.230,260,419,1306,100.0,1,25.156(31.445%)(0.552m),52.643(52.643%)(3.498m),65.000(65.000%)(4.821m),49.000(49.000%)(3.107m),30.000(37.500%)(1.071m),17.806(44.514%)(0.836m),26.000(65.000%)(1.714m),504.878,3593.938
32,0,10,0.000,25.260,17.481,260,419,1306,100.0,1,25.156(31.445%)(0.552m),52.643(52.643%)(3.498m),65.000(65.000%)(4.821m),49.000(49.000%)(3.107m),30.000(37.500%)(1.071m),17.806(44.514%)(0.836m),26.000(65.000%)(1.714m),504.878,3593.938
33,0,10,0.000,15.920,17.434,271,425,1326,100.0,1,25.156(31.445%)(0.552m),52.643(52.643%)(3.498m),65.000(65.000%)(4.821m),49.000(49.000%)(3.107m),30.000(37.500%)(1.071m),17.780(44.450%)(0.834m),24.841(62.102%)(1.590m),504.878,2961.455
34,0,15,0.000,20.900,17.536,350,422,1316,100.0,1,25.156(31.445%)(0.552m),52.643(52.643%)(3.498m),65.000(65.000%)(4.821m),49.000(49.000%)(3.107m),30.000(37.500%)(1.071m),17.780(44.450%)(0.834m),22.000(55.000%)(1.286m),504.878,2952.918
35,0,10,0.000,25.260,17.756,325,419,1306,100.0,1,25.156(31.445%)(0.552m),52.643(52.643%)(3.498m),65.000(65.000%)(4.821m),49.000(49.000%)(3.107m),30.000(37.500%)(1.071m),17.806(44.514%)(0.836m),26.000(65.000%)(1.714m),504.878,3593.938
36,43,31,0.000,2.340,17.328,267,311,937,90.0,0,25.156(31.445%)(0.552m),20.000(20.000%)(0.000m),20.000(20.000%)(0.000m),22.000(22.000%)(0.214m),30.000(37.500%)(1.071m),17.780(44.450%)(0.834m),26.000(65.000%)(1.714m),0.000,2576.558
37,49,29,0.000,-3.200,16.773,170,227,602,70.0,0,28.000(35.000%)(0.857m),21.000(21.000%)(0.107m),32.000(32.000%)(1.286m),33.000(33.000%)(1.393m),24.000(30.000%)(0.429m),31.689(79.222%)(2.324m),40.000(100.000%)(3.214m),0.000,2826.026
38,49,29,0.000,-3.200,16.248,172,227,602,70.0,0,28.000(35.000%)(0.857m),21.000(21.000%)(0.107m),32.000(32.000%)(1.286m),33.000(33.000%)(1.393m),24.000(30.000%)(0.429m),31.689(79.222%)(2.324m),40.000(100.000%)(3.214m),0.000,2826.026
39,49,29,0.000,-3.200,15.749,148,227,602,70.0,0,28.000(35.000%)(0.857m),21.000(21.000%)(0.107m),32.000(32.000%)(1.286m),33.000(33.000%)(1.393m),24.000(30.000%)(0.429m),31.689(79.222%)(2.324m),40.000(100.000%)(3.214m),0.000,2826.026
40,49,29,0.000,-3.200,15.275,173,227,602,70.0,0,28.000(35.000%)(0.857m),21.000(21.000%)(0.107m),32.000(32.000%)(1.286m),33.000(33.000%)(1.393m),24.000(30.000%)(0.429m),31.689(79.222%)(2.324m),40.000(100.000%)(3.214m),0.000,2826.026
41,49,29,0.000,-3.200,14.825,174,227,602,70.0,0,28.000(35.000%)(0.857m),21.000(21.000%)(0.107m),32.000(32.000%)(1.286m),33.000(33.000%)(1.393m),24.000(30.000%)(0.429m),31.689(79.222%)(2.324m),40.000(100.000%)(3.214m),0.000,2826.026
42,49,29,0.000,-3.200,14.395,176,227,602,70.0,0,28.000(35.000%)(0.857m),21.000(21.000%)(0.107m),32.000(32.000%)(1.286m),33.000(33.000%)(1.393m),24.000(30.000%)(0.429m),31.689(79.222%)(2.324m),40.000(100.000%)(3.214m),0.000,2826.026
