episode,close distance,near_miss,MSE,Reward,Avg reward,time,timeframe,steps,progress_pct,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
23,0,0,0.000,20.900,19.090,253,412,1294,100.0,1,24.348(30.434%)(0.466m),51.031(51.031%)(3.325m),70.000(70.000%)(5.357m),50.000(50.000%)(3.214m),31.000(38.750%)(1.179m),17.219(43.047%)(0.773m),26.000(65.000%)(1.714m),537.106,5754.585
24,115,0,0.000,17.570,19.027,250,412,1294,100.0,1,37.000(46.250%)(1.821m),59.000(59.000%)(4.179m),76.000(76.000%)(6.000m),48.171(48.171%)(3.018m),22.913(28.641%)(0.312m),27.000(67.500%)(1.821m),16.178(40.444%)(0.662m),738.542,6130.482
25,0,0,0.000,26.220,19.315,271,408,1281,100.0,1,38.000(47.500%)(1.929m),93.000(93.000%)(7.821m),100.000(100.000%)(8.571m),93.000(93.000%)(7.821m),38.000(47.500%)(1.929m),26.000(65.000%)(1.714m),26.000(65.000%)(1.714m),None,None
26,0,25,0.000,25.260,19.543,274,409,1284,100.0,1,24.258(30.323%)(0.456m),50.853(50.853%)(3.306m),65.000(65.000%)(4.821m),44.000(44.000%)(2.571m),26.000(32.500%)(0.643m),17.154(42.885%)(0.767m),23.000(57.500%)(1.393m),378.694,5655.493
27,0,0,0.000,24.780,19.737,281,409,1284,100.0,1,38.000(47.500%)(1.929m),93.000(93.000%)(7.821m),100.000(100.000%)(8.571m),88.581(88.581%)(7.348m),38.000(47.500%)(1.929m),26.000(65.000%)(1.714m),26.000(65.000%)(1.714m),None,None
28,0,0,0.000,29.420,20.083,324,407,1278,100.0,1,38.000(47.500%)(1.929m),93.000(93.000%)(7.821m),100.000(100.000%)(8.571m),93.000(93.000%)(7.821m),38.000(47.500%)(1.929m),26.000(65.000%)(1.714m),26.000(65.000%)(1.714m),None,None
29,0,6,0.000,25.540,20.271,329,410,1287,100.0,1,24.348(30.434%)(0.466m),51.031(51.031%)(3.325m),65.000(65.000%)(4.821m),48.000(48.000%)(3.000m),30.000(37.500%)(1.071m),17.219(43.047%)(0.773m),26.000(65.000%)(1.714m),484.226,5735.945
30,113,0,0.000,22.270,20.338,324,410,1287,100.0,1,36.000(45.000%)(1.714m),57.000(57.000%)(3.964m),74.000(74.000%)(5.786m),48.171(48.171%)(3.018m),22.913(28.641%)(0.312m),26.000(65.000%)(1.714m),16.178(40.444%)(0.662m),685.662,5900.166
31,0,0,0.000,25.500,20.505,386,410,1287,100.0,1,24.477(30.596%)(0.480m),51.289(51.289%)(3.352m),69.000(69.000%)(5.250m),51.000(51.000%)(3.321m),31.000(38.750%)(1.179m),17.313(43.281%)(0.783m),26.000(65.000%)(1.714m),540.279,3613.232
32,0,0,0.000,25.500,20.661,268,410,1287,100.0,1,24.477(30.596%)(0.480m),51.289(51.289%)(3.352m),69.000(69.000%)(5.250m),51.000(51.000%)(3.321m),31.000(38.750%)(1.179m),17.313(43.281%)(0.783m),26.000(65.000%)(1.714m),540.279,3613.232
