episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1589,1,15.8440,14.1788,0.168,428,1331,43,82,0.050,100,40.40,50000,524.31,2,1,20.626(25.783%)(0.067m),40.000(40.000%)(2.143m),51.000(51.000%)(3.321m),35.000(35.000%)(1.607m),24.000(30.000%)(0.429m),14.519(36.297%)(0.484m),17.000(42.500%)(0.750m),204.664,2609.749
1590,1,17.3357,14.5295,0.185,417,1305,0,72,0.050,100,40.44,50000,519.79,3,1,24.827(31.034%)(0.517m),48.000(48.000%)(3.000m),69.000(69.000%)(5.250m),42.000(42.000%)(2.357m),24.000(30.000%)(0.429m),17.542(43.855%)(0.808m),17.000(42.500%)(0.750m),387.157,2804.130
1591,1,17.4658,14.5559,0.187,421,1315,0,62,0.050,100,40.48,50000,516.63,4,1,24.972(31.215%)(0.533m),47.000(47.000%)(2.893m),61.000(61.000%)(4.393m),39.000(39.000%)(2.036m),24.000(30.000%)(0.429m),17.647(44.117%)(0.819m),17.000(42.500%)(0.750m),294.035,2724.903
1592,1,15.3293,14.4763,0.188,419,1308,0,96,0.050,100,40.52,50000,527.74,5,1,24.585(30.731%)(0.491m),49.000(49.000%)(3.107m),81.000(81.000%)(6.536m),43.000(43.000%)(2.464m),26.000(32.500%)(0.643m),17.367(43.417%)(0.789m),20.000(50.000%)(1.071m),379.479,3192.158
1593,1,15.2700,14.3954,0.174,416,1303,9,116,0.050,100,40.55,50000,510.70,6,1,24.784(30.980%)(0.513m),39.000(39.000%)(2.036m),51.000(51.000%)(3.321m),35.000(35.000%)(1.607m),23.000(28.750%)(0.321m),17.511(43.777%)(0.805m),20.000(50.000%)(1.071m),244.243,2615.005
1594,1,16.2275,14.6432,0.190,416,1305,25,99,0.050,100,40.59,50000,511.91,7,1,24.585(30.731%)(0.491m),47.000(47.000%)(2.893m),62.000(62.000%)(4.500m),39.000(39.000%)(2.036m),20.000(25.000%)(0.000m),17.367(43.417%)(0.789m),14.000(35.000%)(0.429m),326.544,2748.597
1595,1,16.9985,14.6899,0.175,417,1307,34,86,0.050,100,40.63,50000,510.71,8,1,24.617(30.771%)(0.495m),38.000(38.000%)(1.929m),50.000(50.000%)(3.214m),45.000(45.000%)(2.679m),20.000(25.000%)(0.000m),17.390(43.474%)(0.792m),14.000(35.000%)(0.429m),256.766,2709.094
1596,1,17.8967,14.7483,0.182,413,1297,0,90,0.050,100,40.66,50000,519.77,9,1,24.585(30.731%)(0.491m),47.000(47.000%)(2.893m),62.000(62.000%)(4.500m),45.000(45.000%)(2.679m),24.000(30.000%)(0.429m),17.367(43.417%)(0.789m),17.000(42.500%)(0.750m),430.499,2792.699
1597,1,16.2593,15.0127,0.179,415,1300,22,89,0.050,100,40.70,50000,512.21,10,1,20.648(25.810%)(0.069m),43.309(43.309%)(2.497m),84.000(84.000%)(6.857m),39.000(39.000%)(2.036m),23.000(28.750%)(0.321m),14.528(36.321%)(0.485m),17.000(42.500%)(0.750m),326.544,2830.645
1598,1,17.1139,15.0131,0.177,422,1316,39,78,0.050,100,40.74,50000,503.21,11,1,16.238(20.297%)(0.000m),34.944(34.944%)(1.601m),75.000(75.000%)(5.893m),38.000(38.000%)(1.929m),22.000(27.500%)(0.214m),11.380(28.451%)(0.148m),19.000(47.500%)(0.964m),275.523,3140.882
