episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1796,1,20.1416,15.3901,0.201,414,1299,0,45,0.050,100,45.32,50000,546.55,2,1,24.284(30.355%)(0.459m),47.000(47.000%)(2.893m),62.000(62.000%)(4.500m),42.000(42.000%)(2.357m),23.000(28.750%)(0.321m),17.149(42.873%)(0.766m),20.000(50.000%)(1.071m),338.041,2742.687
1797,1,2.1716,15.0958,0.192,341,1045,83,58,0.050,90,45.30,50000,438.00,0,0,13.000(16.250%)(0.000m),37.000(37.000%)(1.821m),45.000(45.000%)(2.679m),46.354(46.354%)(2.824m),22.001(27.501%)(0.214m),10.000(25.000%)(0.000m),15.498(38.744%)(0.589m),289.991,2676.079
1798,1,17.3780,15.0987,0.175,413,1297,62,34,0.050,100,45.33,50000,547.18,1,1,28.000(35.000%)(0.857m),61.000(61.000%)(4.393m),76.000(76.000%)(6.000m),40.791(40.791%)(2.228m),19.185(23.981%)(0.000m),20.000(50.000%)(1.071m),13.480(33.699%)(0.373m),571.015,3039.943
1799,1,20.4099,15.1375,0.177,412,1294,0,45,0.050,100,45.36,50000,556.74,2,1,24.284(30.355%)(0.459m),47.000(47.000%)(2.893m),62.000(62.000%)(4.500m),42.000(42.000%)(2.357m),23.000(28.750%)(0.321m),17.149(42.873%)(0.766m),20.000(50.000%)(1.071m),338.041,2742.687
1800,1,19.1463,15.1652,0.178,462,1403,0,36,0.050,100,45.39,50000,618.13,3,1,28.000(35.000%)(0.857m),42.000(42.000%)(2.357m),61.000(61.000%)(4.393m),46.000(46.000%)(2.786m),23.685(29.606%)(0.395m),20.000(50.000%)(1.071m),16.727(41.818%)(0.721m),391.692,3245.700
1801,1,16.3099,15.0998,0.176,414,1300,0,79,0.050,100,45.42,50000,586.77,4,1,24.395(30.494%)(0.471m),43.000(43.000%)(2.464m),62.000(62.000%)(4.500m),46.000(46.000%)(2.786m),24.000(30.000%)(0.429m),17.229(43.074%)(0.775m),17.000(42.500%)(0.750m),382.237,2781.553
1802,1,17.5544,15.4173,0.191,423,1320,0,79,0.050,100,45.45,50000,610.32,5,1,24.366(30.457%)(0.468m),51.068(51.068%)(3.329m),63.000(63.000%)(4.607m),47.000(47.000%)(2.893m),27.000(33.750%)(0.750m),17.208(43.020%)(0.772m),20.000(50.000%)(1.071m),445.454,3136.402
1803,1,16.8815,15.4081,0.189,440,1356,33,95,0.050,100,45.48,50000,574.30,6,1,19.000(23.750%)(0.000m),43.000(43.000%)(2.464m),56.000(56.000%)(3.857m),44.000(44.000%)(2.571m),23.699(29.623%)(0.396m),14.000(35.000%)(0.429m),16.725(41.813%)(0.721m),344.208,3229.870
1804,1,16.8168,15.7106,0.187,453,1384,6,56,0.050,100,45.51,50000,609.54,7,1,26.507(33.134%)(0.697m),44.000(44.000%)(2.571m),55.000(55.000%)(3.750m),43.000(43.000%)(2.464m),26.000(32.500%)(0.643m),18.757(46.893%)(0.938m),18.000(45.000%)(0.857m),413.844,3234.946
1805,1,20.2276,15.7351,0.172,413,1295,0,69,0.050,100,45.54,50000,540.51,8,1,22.000(27.500%)(0.214m),41.000(41.000%)(2.250m),62.000(62.000%)(4.500m),42.000(42.000%)(2.357m),23.000(28.750%)(0.321m),17.207(43.016%)(0.772m),20.000(50.000%)(1.071m),325.303,2695.308
