episode,stage,reward,avg_reward,MSE,timeframe,steps,close distance,near_miss,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1772,1,19.2097,16.5752,0.196,414,1299,21,5,0.050,100,44.58,50000,607.52,26,1,20.826(26.032%)(0.088m),44.032(44.032%)(2.575m),74.000(74.000%)(5.786m),51.000(51.000%)(3.321m),30.000(37.500%)(1.071m),14.655(36.639%)(0.499m),23.000(57.500%)(1.393m),652.375,2963.954
1773,1,14.3077,16.4511,0.189,416,1307,133,72,0.050,100,44.61,50000,612.16,27,1,20.683(25.854%)(0.073m),43.373(43.373%)(2.504m),60.000(60.000%)(4.286m),36.000(36.000%)(1.714m),15.000(18.750%)(0.000m),14.553(36.383%)(0.488m),11.000(27.500%)(0.107m),425.671,2968.939
1774,1,15.7923,16.4208,0.176,423,1320,9,59,0.050,100,44.64,50000,557.81,28,1,26.032(32.540%)(0.646m),50.000(50.000%)(3.214m),52.000(52.000%)(3.429m),41.000(41.000%)(2.250m),26.000(32.500%)(0.643m),18.414(46.034%)(0.901m),19.000(47.500%)(0.964m),338.741,2745.231
1775,1,17.5844,16.4511,0.175,414,1300,0,67,0.050,100,44.68,50000,446.97,29,1,24.477(30.596%)(0.480m),43.000(43.000%)(2.464m),62.000(62.000%)(4.500m),51.000(51.000%)(3.321m),24.000(30.000%)(0.429m),17.288(43.221%)(0.781m),17.000(42.500%)(0.750m),392.554,2826.480
1776,1,18.2128,16.4769,0.192,413,1297,0,55,0.050,100,44.71,50000,457.72,30,1,24.716(30.896%)(0.505m),51.767(51.767%)(3.404m),75.000(75.000%)(5.893m),60.000(60.000%)(4.286m),24.000(30.000%)(0.429m),17.462(43.655%)(0.799m),17.000(42.500%)(0.750m),721.744,3082.702
1777,1,14.6789,16.3869,0.182,439,1355,115,96,0.050,100,44.74,50000,552.38,31,1,17.868(22.335%)(0.000m),38.190(38.190%)(1.949m),37.000(37.000%)(1.821m),30.000(30.000%)(1.071m),22.000(27.500%)(0.214m),12.536(31.339%)(0.272m),16.000(40.000%)(0.643m),177.545,2649.338
1778,1,18.4453,16.3813,0.204,414,1300,9,76,0.050,100,44.77,50000,466.53,32,1,24.698(30.873%)(0.503m),38.000(38.000%)(1.929m),50.000(50.000%)(3.214m),52.000(52.000%)(3.429m),24.000(30.000%)(0.429m),17.449(43.622%)(0.798m),17.000(42.500%)(0.750m),223.375,2799.308
1779,1,-0.1163,16.0262,0.201,289,888,30,64,0.050,85,44.74,50000,365.38,0,0,22.000(27.500%)(0.214m),19.000(19.000%)(0.000m),29.000(29.000%)(0.964m),37.000(37.000%)(1.821m),28.000(35.000%)(0.857m),17.580(43.951%)(0.812m),18.000(45.000%)(0.857m),0.000,2535.078
1780,1,20.9821,16.0822,0.175,412,1294,0,8,0.050,100,44.78,50000,496.95,1,1,24.617(30.771%)(0.495m),51.568(51.568%)(3.382m),84.000(84.000%)(6.857m),45.000(45.000%)(2.679m),30.000(37.500%)(1.071m),17.390(43.474%)(0.792m),23.000(57.500%)(1.393m),430.499,2970.437
1781,1,17.3373,16.0677,0.183,417,1305,0,47,0.050,100,44.81,50000,501.85,2,1,24.508(30.635%)(0.483m),50.326(50.326%)(3.249m),69.000(69.000%)(5.250m),51.000(51.000%)(3.321m),28.000(35.000%)(0.857m),17.311(43.278%)(0.783m),20.000(50.000%)(1.071m),540.279,2920.242
1782,1,18.9435,16.1443,0.195,413,1295,0,37,0.050,100,44.84,50000,465.38,3,1,24.602(30.752%)(0.493m),51.539(51.539%)(3.379m),66.000(66.000%)(4.929m),46.000(46.000%)(2.786m),27.000(33.750%)(0.750m),17.379(43.448%)(0.791m),21.000(52.500%)(1.179m),459.181,2905.245
1783,1,21.4209,16.2271,0.183,444,1364,0,5,0.050,100,44.87,50000,572.62,4,1,24.442(30.553%)(0.476m),51.220(51.220%)(3.345m),69.000(69.000%)(5.250m),44.000(44.000%)(2.571m),31.000(38.750%)(1.179m),17.263(43.159%)(0.778m),26.000(65.000%)(1.714m),403.538,3657.287
1784,1,16.0771,16.5531,0.178,416,1303,3,55,0.050,100,44.90,50000,532.91,5,1,25.087(31.359%)(0.545m),52.422(52.422%)(3.474m),59.000(59.000%)(4.179m),43.000(43.000%)(2.464m),23.000(28.750%)(0.321m),17.740(44.351%)(0.829m),16.000(40.000%)(0.643m),402.388,2910.451
1785,1,16.2974,16.5415,0.171,414,1299,7,73,0.050,100,44.93,50000,469.87,6,1,28.000(35.000%)(0.857m),52.000(52.000%)(3.429m),75.000(75.000%)(5.893m),48.365(48.365%)(3.039m),23.010(28.763%)(0.323m),19.000(47.500%)(0.964m),16.228(40.569%)(0.667m),555.169,2905.108
1786,1,13.9608,16.4206,0.178,415,1302,7,92,0.050,100,44.96,50000,492.42,7,1,24.000(30.000%)(0.429m),51.000(51.000%)(3.321m),63.000(63.000%)(4.607m),41.000(41.000%)(2.250m),23.010(28.763%)(0.323m),17.000(42.500%)(0.750m),16.228(40.569%)(0.667m),320.957,2810.905
1787,1,16.4838,16.4010,0.171,415,1302,1,57,0.050,100,44.99,50000,486.97,8,1,24.954(31.192%)(0.531m),45.000(45.000%)(2.679m),59.000(59.000%)(4.179m),43.000(43.000%)(2.464m),23.000(28.750%)(0.321m),17.633(44.084%)(0.818m),17.000(42.500%)(0.750m),402.388,2762.239
1788,1,19.3828,16.4699,0.185,414,1299,49,13,0.050,100,45.02,50000,504.89,9,1,21.265(26.582%)(0.136m),44.443(44.443%)(2.619m),84.000(84.000%)(6.857m),60.000(60.000%)(4.286m),40.000(50.000%)(2.143m),14.971(37.427%)(0.533m),22.000(55.000%)(1.286m),800.115,3252.874
1789,1,19.1805,16.5125,0.163,416,1303,1,4,0.050,100,45.05,50000,556.44,10,1,24.954(31.192%)(0.531m),52.240(52.240%)(3.454m),59.000(59.000%)(4.179m),43.000(43.000%)(2.464m),31.000(38.750%)(1.179m),17.633(44.084%)(0.818m),23.000(57.500%)(1.393m),402.388,2958.893
1790,1,-1.2883,16.1875,0.154,133,387,12,0,0.050,60,45.03,50000,150.07,0,0,55.000(68.750%)(3.750m),70.000(70.000%)(5.357m),59.684(59.684%)(4.252m),22.253(22.253%)(0.241m),11.848(14.810%)(0.000m),40.000(100.000%)(3.214m),10.097(25.242%)(0.010m),1031.976,4176.056
1791,1,17.7055,16.1327,0.201,413,1295,1,54,0.050,100,45.06,50000,560.40,1,1,24.846(31.058%)(0.519m),52.000(52.000%)(3.429m),59.000(59.000%)(4.179m),35.000(35.000%)(1.607m),24.000(30.000%)(0.429m),17.556(43.890%)(0.810m),20.000(50.000%)(1.071m),243.619,2754.223
1792,1,18.9223,16.2085,0.163,415,1300,0,20,0.050,100,45.09,50000,453.38,2,1,25.093(31.366%)(0.546m),52.517(52.517%)(3.484m),84.000(84.000%)(6.857m),42.000(42.000%)(2.357m),28.000(35.000%)(0.857m),17.734(44.335%)(0.829m),22.000(55.000%)(1.286m),391.860,2995.619
