episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,-1.8262,-1.8262,0.000,185,453,1.000,45,0.00,19,180.94,0,0,61.965(77.456%)(4.496m),94.203(94.203%)(7.950m),24.005(24.005%)(0.429m),14.314(14.314%)(0.000m),9.480(11.851%)(0.000m),40.000(100.000%)(3.214m),10.718(26.794%)(0.077m),None,None
2,1,-2.1578,-1.9920,0.000,119,289,0.998,35,0.00,31,115.23,0,0,9.944(12.431%)(0.000m),15.128(15.128%)(0.000m),25.669(25.669%)(0.607m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),11.104(27.761%)(0.118m),40.000(100.000%)(3.214m),None,None
3,1,-2.4377,-2.1406,0.000,124,308,0.996,35,0.00,44,118.41,0,0,11.168(13.961%)(0.000m),18.999(18.999%)(0.000m),39.651(39.651%)(2.105m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),10.635(26.588%)(0.068m),40.000(100.000%)(3.214m),None,None
4,1,-3.6827,-2.5261,0.000,146,356,0.994,40,0.00,59,176.77,0,0,69.057(86.321%)(5.256m),100.000(100.000%)(8.571m),41.407(41.407%)(2.294m),18.963(18.963%)(0.000m),10.925(13.656%)(0.000m),40.000(100.000%)(3.214m),10.152(25.379%)(0.016m),None,None
5,1,-0.7003,-2.1609,0.722,230,620,0.992,55,0.00,82,372.60,0,0,71.000(88.750%)(5.464m),96.000(96.000%)(8.143m),89.083(89.083%)(7.402m),26.148(26.148%)(0.659m),12.648(15.810%)(0.000m),40.000(100.000%)(3.214m),9.868(24.670%)(0.000m),None,None
6,1,-3.3990,-2.3673,0.686,136,332,0.990,35,0.00,96,209.50,0,0,13.084(16.355%)(0.000m),28.876(28.876%)(0.951m),88.837(88.837%)(7.375m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),9.694(24.234%)(0.000m),40.000(100.000%)(3.214m),None,None
7,1,-4.0314,-2.6050,0.735,88,215,0.988,30,0.00,105,134.49,0,0,9.179(11.474%)(0.000m),13.110(13.110%)(0.000m),20.284(20.284%)(0.030m),52.739(52.739%)(3.508m),77.067(96.334%)(6.114m),11.469(28.673%)(0.157m),40.000(100.000%)(3.214m),None,None
8,1,-2.2471,-2.5603,0.756,115,298,0.986,35,0.00,117,195.32,0,0,10.663(13.329%)(0.000m),18.321(18.321%)(0.000m),39.085(39.085%)(2.045m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.030(25.076%)(0.003m),40.000(100.000%)(3.214m),None,None
9,1,-5.3729,-2.8728,0.591,209,517,0.984,45,0.00,138,357.09,0,0,8.600(10.750%)(0.000m),10.898(10.898%)(0.000m),14.631(14.631%)(0.000m),24.827(24.827%)(0.517m),34.047(42.559%)(1.505m),14.271(35.678%)(0.458m),24.462(61.155%)(1.549m),None,None
10,1,-4.0869,-2.9942,0.541,89,216,0.982,30,0.00,147,149.60,0,0,77.786(97.233%)(6.191m),52.838(52.838%)(3.518m),21.029(21.029%)(0.110m),13.710(13.710%)(0.000m),9.662(12.077%)(0.000m),40.000(100.000%)(3.214m),12.227(30.567%)(0.239m),None,None
11,1,0.0018,-2.7218,0.395,253,615,0.980,50,0.00,173,469.06,0,0,10.835(13.543%)(0.000m),18.253(18.253%)(0.000m),37.309(37.309%)(1.855m),100.000(100.000%)(8.571m),67.666(84.582%)(5.107m),10.445(26.111%)(0.048m),40.000(100.000%)(3.214m),None,None
12,1,-3.8270,-2.8139,0.236,608,1485,0.978,75,0.00,234,1053.50,0,0,18.063(22.578%)(0.000m),37.836(37.836%)(1.911m),47.000(47.000%)(2.893m),21.000(21.000%)(0.107m),22.000(27.500%)(0.214m),12.760(31.901%)(0.296m),29.379(73.447%)(2.076m),2400.100,3493.779
13,1,-2.8540,-2.8170,0.201,289,787,0.976,60,0.00,263,509.74,0,0,26.000(32.500%)(0.643m),21.000(21.000%)(0.107m),44.000(44.000%)(2.571m),100.000(100.000%)(8.571m),58.429(73.036%)(4.117m),36.850(92.126%)(2.877m),40.000(100.000%)(3.214m),0.000,565.354
14,1,-5.9142,-3.0382,0.239,131,313,0.974,35,0.00,277,216.88,0,0,10.699(13.374%)(0.000m),17.689(17.689%)(0.000m),34.789(34.789%)(1.585m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.569(26.424%)(0.061m),40.000(100.000%)(3.214m),None,None
15,1,-3.9533,-3.0992,0.270,448,1127,0.972,70,0.00,322,768.92,0,0,10.890(13.613%)(0.000m),19.306(19.306%)(0.000m),44.355(44.355%)(2.609m),52.000(52.000%)(3.429m),26.279(32.848%)(0.673m),9.874(24.684%)(0.000m),18.731(46.828%)(0.935m),980.106,1457.884
16,1,-3.6063,-3.1309,0.236,101,265,0.970,30,0.00,333,163.90,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),24.606(24.606%)(0.494m),14.501(14.501%)(0.000m),9.533(11.916%)(0.000m),40.000(100.000%)(3.214m),10.645(26.612%)(0.069m),None,None
17,1,-3.7167,-3.1654,0.308,142,350,0.968,40,0.00,348,247.49,0,0,9.937(12.421%)(0.000m),15.003(15.003%)(0.000m),25.161(25.161%)(0.553m),98.738(98.738%)(8.436m),58.020(72.526%)(4.074m),11.234(28.085%)(0.132m),40.000(100.000%)(3.214m),None,None
18,1,-1.0110,-3.0457,0.248,212,574,0.967,50,0.00,370,405.83,0,0,43.412(54.265%)(2.508m),55.626(55.626%)(3.817m),21.394(21.394%)(0.149m),13.827(13.827%)(0.000m),9.682(12.102%)(0.000m),31.367(78.417%)(2.289m),12.097(30.242%)(0.225m),None,None
19,1,-0.9360,-2.9347,0.258,194,490,0.965,45,0.00,390,363.03,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),39.140(39.140%)(2.051m),18.754(18.754%)(0.000m),11.025(13.781%)(0.000m),40.000(100.000%)(3.214m),10.498(26.246%)(0.053m),None,None
