episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,-4.1296,-4.1296,0.000,75,183,1.000,25,0.00,8,73.05,0,0,78.639(98.299%)(6.283m),38.116(38.116%)(1.941m),17.866(17.866%)(0.000m),12.211(12.211%)(0.000m),8.929(11.162%)(0.000m),40.000(100.000%)(3.214m),12.211(30.528%)(0.237m),None,None
2,1,-2.8159,-3.4727,0.000,120,291,0.998,35,0.00,20,119.87,0,0,10.548(13.185%)(0.000m),17.281(17.281%)(0.000m),33.384(33.384%)(1.434m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),10.548(26.370%)(0.059m),40.000(100.000%)(3.214m),None,None
3,1,-2.8991,-3.2815,0.000,148,368,0.996,40,0.00,35,150.21,0,0,74.994(93.742%)(5.892m),94.022(94.022%)(7.931m),23.959(23.959%)(0.424m),14.287(14.287%)(0.000m),9.462(11.828%)(0.000m),40.000(100.000%)(3.214m),10.697(26.743%)(0.075m),None,None
4,1,-3.2394,-3.2710,0.000,72,184,0.994,25,0.00,43,70.06,0,0,9.531(11.914%)(0.000m),13.438(13.438%)(0.000m),20.439(20.439%)(0.047m),49.744(49.744%)(3.187m),77.067(96.334%)(6.114m),12.216(30.540%)(0.237m),40.000(100.000%)(3.214m),None,None
5,1,-2.3018,-3.0772,0.000,180,484,0.992,45,0.00,61,182.16,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),31.857(31.857%)(1.270m),16.490(16.490%)(0.000m),10.066(12.582%)(0.000m),40.000(100.000%)(3.214m),10.066(25.164%)(0.007m),None,None
6,1,-1.1427,-2.7547,0.856,164,402,0.990,40,0.00,78,241.00,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),41.447(41.447%)(2.298m),18.981(18.981%)(0.000m),10.936(13.669%)(0.000m),40.000(100.000%)(3.214m),10.161(25.404%)(0.017m),None,None
7,1,-2.7789,-2.7582,0.862,137,334,0.988,35,0.00,92,220.28,0,0,69.098(86.372%)(5.260m),100.000(100.000%)(8.571m),27.009(27.009%)(0.751m),15.527(15.527%)(0.000m),10.051(12.564%)(0.000m),40.000(100.000%)(3.214m),10.951(27.377%)(0.102m),None,None
8,1,-3.8535,-2.8951,0.783,133,320,0.986,35,0.00,106,189.28,0,0,11.290(14.112%)(0.000m),19.801(19.801%)(0.000m),44.317(44.317%)(2.605m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.362(25.906%)(0.039m),40.000(100.000%)(3.214m),None,None
9,1,-2.5075,-2.8520,0.813,163,423,0.984,45,0.00,123,252.73,0,0,53.987(67.483%)(3.641m),100.000(100.000%)(8.571m),36.220(36.220%)(1.738m),17.720(17.720%)(0.000m),10.519(13.148%)(0.000m),39.367(98.417%)(3.146m),10.140(25.349%)(0.015m),None,None
10,1,-2.0125,-2.7681,0.730,214,519,0.982,45,0.00,145,330.05,0,0,10.285(12.856%)(0.000m),16.014(16.014%)(0.000m),28.225(28.225%)(0.881m),100.000(100.000%)(8.571m),54.924(68.655%)(3.742m),11.068(27.671%)(0.114m),40.000(100.000%)(3.214m),None,None
11,1,-8.4086,-3.2809,0.764,423,1028,0.980,65,0.00,188,657.90,0,0,42.268(52.835%)(2.386m),60.647(60.647%)(4.355m),22.481(22.481%)(0.266m),14.400(14.400%)(0.000m),10.017(12.521%)(0.000m),30.657(76.642%)(2.213m),12.358(30.895%)(0.253m),3284.512,4219.834
12,1,-2.6438,-3.2278,0.800,212,518,0.978,45,0.00,210,359.96,0,0,72.217(90.271%)(5.595m),100.000(100.000%)(8.571m),26.258(26.258%)(0.670m),15.288(15.288%)(0.000m),9.973(12.466%)(0.000m),40.000(100.000%)(3.214m),11.000(27.500%)(0.107m),None,None
13,1,-3.5201,-3.2503,0.831,180,457,0.976,45,0.00,228,271.82,0,0,60.177(75.222%)(4.305m),49.867(49.867%)(3.200m),20.490(20.490%)(0.052m),13.472(13.472%)(0.000m),9.555(11.943%)(0.000m),40.000(100.000%)(3.214m),12.246(30.615%)(0.241m),None,None
14,1,-4.2907,-3.3246,0.959,92,230,0.974,30,0.00,238,133.78,0,0,9.980(12.475%)(0.000m),14.850(14.850%)(0.000m),24.357(24.357%)(0.467m),83.506(83.506%)(6.804m),77.067(96.334%)(6.114m),11.566(28.914%)(0.168m),40.000(100.000%)(3.214m),None,None
15,1,-2.7108,-3.2837,1.077,212,531,0.972,50,0.00,260,382.14,0,0,10.549(13.187%)(0.000m),17.604(17.604%)(0.000m),35.278(35.278%)(1.637m),94.589(94.589%)(7.992m),51.673(64.591%)(3.394m),10.295(25.736%)(0.032m),37.828(94.571%)(2.982m),None,None
16,1,-3.8181,-3.3171,1.129,142,341,0.970,35,0.00,275,221.55,0,0,9.304(11.630%)(0.000m),13.845(13.845%)(0.000m),22.708(22.708%)(0.290m),77.852(77.852%)(6.198m),64.751(80.939%)(4.795m),10.783(26.956%)(0.084m),40.000(100.000%)(3.214m),None,None
17,1,-1.0815,-3.1856,1.174,126,312,0.968,35,0.00,288,194.49,0,0,8.979(11.224%)(0.000m),12.352(12.352%)(0.000m),18.206(18.206%)(0.000m),39.754(39.754%)(2.117m),67.254(84.068%)(5.063m),12.119(30.298%)(0.227m),40.000(100.000%)(3.214m),None,None
18,1,-5.3527,-3.3060,1.482,246,599,0.967,50,0.00,313,392.72,0,0,8.297(10.372%)(0.000m),10.677(10.677%)(0.000m),14.569(14.569%)(0.000m),25.677(25.677%)(0.608m),37.495(46.869%)(1.875m),13.185(32.962%)(0.341m),27.072(67.681%)(1.829m),None,None
19,1,-3.6570,-3.3244,1.421,92,224,0.965,30,0.00,323,146.47,0,0,78.639(98.299%)(6.283m),85.279(85.279%)(6.994m),24.874(24.874%)(0.522m),15.166(15.166%)(0.000m),10.192(12.740%)(0.000m),40.000(100.000%)(3.214m),11.811(29.528%)(0.194m),None,None
20,1,-1.2853,-3.2225,1.636,166,404,0.963,40,0.00,340,251.76,0,0,12.031(15.038%)(0.000m),22.881(22.881%)(0.309m),64.240(64.240%)(4.740m),100.000(100.000%)(8.571m),67.712(84.641%)(5.112m),10.126(25.314%)(0.013m),40.000(100.000%)(3.214m),None,None
21,1,-4.8846,-3.3016,1.429,72,172,0.961,25,0.00,348,172.74,0,0,10.351(12.938%)(0.000m),15.866(15.866%)(0.000m),27.252(27.252%)(0.777m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),11.416(28.541%)(0.152m),40.000(100.000%)(3.214m),None,None
22,1,-3.7592,-3.3224,1.639,146,353,0.959,40,0.00,363,330.59,0,0,69.057(86.321%)(5.256m),100.000(100.000%)(8.571m),28.522(28.522%)(0.913m),15.736(15.736%)(0.000m),9.943(12.429%)(0.000m),40.000(100.000%)(3.214m),10.442(26.104%)(0.047m),None,None
23,1,-3.1521,-3.3150,1.845,102,247,0.957,30,0.00,374,186.94,0,0,9.980(12.475%)(0.000m),14.253(14.253%)(0.000m),22.053(22.053%)(0.220m),57.339(57.339%)(4.001m),67.642(84.553%)(5.105m),12.470(31.174%)(0.265m),40.000(100.000%)(3.214m),None,None
24,1,0.2768,-3.1654,1.979,176,429,0.955,40,0.00,392,283.19,0,0,72.004(90.005%)(5.572m),100.000(100.000%)(8.571m),76.267(76.267%)(6.029m),26.269(26.269%)(0.672m),12.706(15.883%)(0.000m),40.000(100.000%)(3.214m),9.913(24.783%)(0.000m),None,None
25,1,2.0489,-2.9568,1.824,180,445,0.953,45,0.00,410,256.65,0,0,66.133(82.666%)(4.943m),100.000(100.000%)(8.571m),32.793(32.793%)(1.371m),16.975(16.975%)(0.000m),10.361(12.952%)(0.000m),40.000(100.000%)(3.214m),10.361(25.903%)(0.039m),None,None
26,1,-3.8613,-2.9916,1.512,117,286,0.951,35,0.00,422,168.55,0,0,11.001(13.752%)(0.000m),19.296(19.296%)(0.000m),43.185(43.185%)(2.484m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.098(25.244%)(0.010m),40.000(100.000%)(3.214m),None,None
27,1,-0.9364,-2.9155,1.495,148,398,0.949,40,0.00,437,231.23,0,0,63.012(78.765%)(4.608m),100.000(100.000%)(8.571m),26.961(26.961%)(0.746m),15.697(15.697%)(0.000m),10.240(12.800%)(0.000m),40.000(100.000%)(3.214m),11.295(28.236%)(0.139m),None,None
28,1,-6.5905,-3.0467,1.568,332,845,0.947,60,0.00,471,507.22,0,0,9.670(12.087%)(0.000m),14.822(14.822%)(0.000m),25.458(25.458%)(0.585m),30.114(30.114%)(1.084m),14.082(17.603%)(0.000m),10.665(26.663%)(0.071m),9.875(24.689%)(0.000m),2254.022,3193.725
29,1,-1.3433,-2.9880,1.336,171,419,0.945,40,0.00,489,259.35,0,0,11.479(14.349%)(0.000m),20.807(20.807%)(0.086m),50.640(50.640%)(3.283m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),10.154(25.385%)(0.016m),40.000(100.000%)(3.214m),None,None
