episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,0.0873,0.0873,0.000,179,442,1.000,45,0.00,18,165.29,0,0,9.921(12.402%)(0.000m),14.078(14.078%)(0.000m),21.594(21.594%)(0.171m),54.257(54.257%)(3.670m),64.546(80.683%)(4.773m),12.555(31.388%)(0.274m),40.000(100.000%)(3.214m),None,None
2,1,-3.1920,-1.5524,0.000,178,428,0.998,40,0.00,36,165.39,0,0,11.380(14.225%)(0.000m),20.175(20.175%)(0.019m),46.351(46.351%)(2.823m),100.000(100.000%)(8.571m),67.684(84.605%)(5.109m),10.318(25.795%)(0.034m),40.000(100.000%)(3.214m),None,None
3,1,-2.5210,-1.8752,0.235,415,1072,0.996,70,0.00,78,472.90,0,0,15.000(18.750%)(0.000m),21.000(21.000%)(0.107m),65.000(65.000%)(4.821m),75.672(75.672%)(5.965m),36.602(45.752%)(1.779m),25.303(63.256%)(1.640m),26.387(65.968%)(1.756m),769.510,1357.649
4,1,1.1768,-1.1122,0.281,168,417,0.994,40,0.00,95,266.95,0,0,65.960(82.450%)(4.924m),100.000(100.000%)(8.571m),67.254(67.254%)(5.063m),25.062(25.062%)(0.542m),12.486(15.607%)(0.000m),40.000(100.000%)(3.214m),9.993(24.982%)(0.000m),None,None
5,1,-2.3688,-1.3636,0.291,98,247,0.992,30,0.00,105,129.73,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),36.877(36.877%)(1.808m),18.402(18.402%)(0.000m),11.027(13.784%)(0.000m),40.000(100.000%)(3.214m),10.761(26.903%)(0.082m),None,None
6,1,-2.6196,-1.5729,0.320,125,316,0.990,35,0.00,118,187.38,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),33.987(33.987%)(1.499m),17.593(17.593%)(0.000m),10.739(13.423%)(0.000m),40.000(100.000%)(3.214m),10.739(26.846%)(0.079m),None,None
7,1,-3.8937,-1.9044,0.399,106,255,0.988,30,0.00,129,137.85,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),43.070(43.070%)(2.472m),19.724(19.724%)(0.000m),11.364(14.205%)(0.000m),40.000(100.000%)(3.214m),10.559(26.398%)(0.060m),None,None
8,1,-5.4896,-2.3526,0.302,243,600,0.986,50,0.00,154,379.62,0,0,9.795(12.244%)(0.000m),13.811(13.811%)(0.000m),21.006(21.006%)(0.108m),51.123(51.123%)(3.335m),49.270(61.588%)(3.136m),12.555(31.386%)(0.274m),35.865(89.662%)(2.771m),None,None
9,1,-5.0460,-2.6519,0.181,261,642,0.984,50,0.00,181,368.99,0,0,44.549(55.687%)(2.630m),82.231(82.231%)(6.668m),33.323(33.323%)(1.427m),17.249(17.249%)(0.000m),10.529(13.161%)(0.000m),32.453(81.133%)(2.406m),10.529(26.322%)(0.057m),None,None
10,1,-5.1712,-2.9038,0.115,172,429,0.982,40,0.00,199,245.33,0,0,45.253(56.566%)(2.706m),80.665(80.665%)(6.500m),24.534(24.534%)(0.486m),14.958(14.958%)(0.000m),10.053(12.566%)(0.000m),33.017(82.541%)(2.466m),11.650(29.125%)(0.177m),None,None
