episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,-0.0246,-0.0246,0.000,410,987,1.000,45,0.00,41,832.08,0,0,10.976(13.720%)(0.000m),17.982(17.982%)(0.000m),34.739(34.739%)(1.579m),47.000(47.000%)(2.893m),43.000(53.750%)(2.464m),10.976(27.440%)(0.105m),40.000(100.000%)(3.214m),1421.344,3251.343
2,1,-4.5787,-2.3016,0.000,135,325,0.998,20,0.00,55,259.16,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),51.469(51.469%)(3.372m),21.148(21.148%)(0.123m),11.667(14.584%)(0.000m),40.000(100.000%)(3.214m),10.320(25.800%)(0.034m),None,None
3,1,-3.8556,-2.8196,0.438,128,324,0.996,20,0.00,68,277.10,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),68.734(68.734%)(5.221m),24.877(24.877%)(0.523m),12.393(15.492%)(0.000m),40.000(100.000%)(3.214m),9.919(24.797%)(0.000m),None,None
4,1,-3.4899,-2.9872,0.546,121,297,0.994,20,0.00,81,354.86,0,0,69.098(86.372%)(5.260m),100.000(100.000%)(8.571m),33.653(33.653%)(1.463m),17.111(17.111%)(0.000m),10.350(12.937%)(0.000m),40.000(100.000%)(3.214m),10.224(25.560%)(0.024m),None,None
5,1,-4.8851,-3.3668,0.633,89,219,0.992,15,0.00,90,281.48,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),47.459(47.459%)(2.942m),20.089(20.089%)(0.010m),11.208(14.010%)(0.000m),40.000(100.000%)(3.214m),10.038(25.094%)(0.004m),None,None
6,1,-4.1086,-3.4904,0.650,91,225,0.990,15,0.00,100,305.18,0,0,78.639(98.299%)(6.283m),89.892(89.892%)(7.488m),24.602(24.602%)(0.493m),14.837(14.837%)(0.000m),9.899(12.374%)(0.000m),40.000(100.000%)(3.214m),11.330(28.326%)(0.143m),None,None
7,1,-4.6714,-3.6591,0.612,92,230,0.988,15,0.00,110,327.09,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),54.077(54.077%)(3.651m),21.249(21.249%)(0.134m),11.452(14.314%)(0.000m),40.000(100.000%)(3.214m),9.882(24.704%)(0.000m),None,None
8,1,-3.9345,-3.6936,0.638,71,174,0.986,15,0.00,118,221.37,0,0,78.639(98.299%)(6.283m),47.895(47.895%)(2.989m),19.679(19.679%)(0.000m),12.939(12.939%)(0.000m),9.177(11.471%)(0.000m),40.000(100.000%)(3.214m),11.762(29.405%)(0.189m),None,None
9,1,-3.9262,-3.7194,0.525,178,443,0.984,25,0.00,136,600.19,0,0,11.471(14.339%)(0.000m),20.336(20.336%)(0.036m),46.721(46.721%)(2.863m),94.000(94.000%)(7.929m),77.067(96.334%)(6.114m),10.400(26.001%)(0.043m),40.000(100.000%)(3.214m),None,None
10,1,-4.6248,-3.8099,0.381,154,376,0.982,25,0.00,152,449.01,0,0,57.392(71.739%)(4.006m),35.445(35.445%)(1.655m),16.984(16.984%)(0.000m),11.691(11.691%)(0.000m),8.600(10.749%)(0.000m),40.000(100.000%)(3.214m),11.916(29.790%)(0.205m),None,None
11,1,-3.2679,-3.7607,0.279,132,336,0.980,25,0.00,166,420.90,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),35.197(35.197%)(1.628m),17.563(17.563%)(0.000m),10.525(13.156%)(0.000m),40.000(100.000%)(3.214m),10.271(25.677%)(0.029m),None,None
12,1,-4.0792,-3.7872,0.246,115,281,0.978,20,0.00,178,320.50,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),59.901(59.901%)(4.275m),23.070(23.070%)(0.329m),11.974(14.968%)(0.000m),40.000(100.000%)(3.214m),9.953(24.883%)(0.000m),None,None
13,1,-3.8864,-3.7948,0.237,120,293,0.976,20,0.00,190,312.82,0,0,10.187(12.734%)(0.000m),15.381(15.381%)(0.000m),25.795(25.795%)(0.621m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),11.517(28.792%)(0.162m),40.000(100.000%)(3.214m),None,None
14,1,-3.9460,-3.8056,0.190,83,217,0.974,15,0.00,199,298.47,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),30.687(30.687%)(1.145m),16.680(16.680%)(0.000m),10.452(13.065%)(0.000m),40.000(100.000%)(3.214m),10.842(27.105%)(0.090m),None,None
