episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,-3.9562,-3.9562,0.000,96,238,1.000,30,0.00,10,83.37,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),28.352(28.352%)(0.895m),16.086(16.086%)(0.000m),10.331(12.914%)(0.000m),40.000(100.000%)(3.214m),11.118(27.796%)(0.120m),None,None
2,1,-1.1788,-2.5675,0.000,210,519,0.998,45,0.00,31,192.92,0,0,10.840(13.550%)(0.000m),17.759(17.759%)(0.000m),34.308(34.308%)(1.533m),100.000(100.000%)(8.571m),67.642(84.553%)(5.105m),10.840(27.100%)(0.090m),40.000(100.000%)(3.214m),None,None
3,1,-2.8842,-2.6731,0.000,75,188,0.996,25,0.00,39,65.22,0,0,77.786(97.233%)(6.191m),61.755(61.755%)(4.474m),21.063(21.063%)(0.114m),13.241(13.241%)(0.000m),9.087(11.359%)(0.000m),40.000(100.000%)(3.214m),10.933(27.332%)(0.100m),None,None
4,1,-1.1079,-2.2818,0.000,162,394,0.994,40,0.00,56,147.68,0,0,72.030(90.038%)(5.575m),100.000(100.000%)(8.571m),27.586(27.586%)(0.813m),16.061(16.061%)(0.000m),10.478(13.097%)(0.000m),40.000(100.000%)(3.214m),11.557(28.892%)(0.167m),None,None
5,1,-4.0485,-2.6351,0.658,259,660,0.992,55,0.00,82,348.05,0,0,17.600(22.001%)(0.000m),36.266(36.266%)(1.743m),21.652(21.652%)(0.177m),14.116(14.116%)(0.000m),9.948(12.435%)(0.000m),12.419(31.048%)(0.259m),12.589(31.472%)(0.277m),None,None
6,1,-2.9164,-2.6820,0.746,127,306,0.990,35,0.00,95,195.15,0,0,69.057(86.321%)(5.256m),60.870(60.870%)(4.379m),22.564(22.564%)(0.275m),14.453(14.453%)(0.000m),10.053(12.567%)(0.000m),40.000(100.000%)(3.214m),12.404(31.009%)(0.258m),None,None
7,1,-5.0029,-3.0135,0.756,208,510,0.988,45,0.00,116,328.07,0,0,45.243(56.554%)(2.705m),83.209(83.209%)(6.772m),25.836(25.836%)(0.625m),15.406(15.406%)(0.000m),10.203(12.754%)(0.000m),32.979(82.447%)(2.462m),11.535(28.837%)(0.164m),None,None
8,1,-2.4843,-2.9474,0.507,200,523,0.986,50,0.00,136,281.63,0,0,10.349(12.936%)(0.000m),15.626(15.626%)(0.000m),26.205(26.205%)(0.665m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),11.700(29.249%)(0.182m),40.000(100.000%)(3.214m),None,None
9,1,-2.5177,-2.8996,0.460,166,406,0.984,40,0.00,153,256.60,0,0,11.892(14.864%)(0.000m),22.617(22.617%)(0.280m),63.497(63.497%)(4.660m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),10.009(25.022%)(0.001m),40.000(100.000%)(3.214m),None,None
10,1,-3.9025,-2.9999,0.606,125,306,0.982,35,0.00,166,193.49,0,0,78.639(98.299%)(6.283m),41.005(41.005%)(2.251m),19.221(19.221%)(0.000m),13.137(13.137%)(0.000m),9.606(12.008%)(0.000m),40.000(100.000%)(3.214m),13.137(32.842%)(0.336m),None,None
11,1,-5.1921,-3.1992,0.500,123,295,0.980,35,0.00,179,201.73,0,0,78.639(98.299%)(6.283m),76.539(76.539%)(6.058m),23.641(23.641%)(0.390m),14.566(14.566%)(0.000m),9.859(12.324%)(0.000m),40.000(100.000%)(3.214m),11.569(28.922%)(0.168m),None,None
12,1,-4.6247,-3.3180,0.401,263,654,0.978,55,0.00,206,362.54,0,0,10.959(13.698%)(0.000m),18.462(18.462%)(0.000m),37.736(37.736%)(1.900m),100.000(100.000%)(8.571m),55.361(69.202%)(3.789m),10.564(26.410%)(0.060m),40.000(100.000%)(3.214m),None,None
13,1,-1.9152,-3.2101,0.399,132,336,0.976,35,0.00,220,222.01,0,0,10.106(12.633%)(0.000m),16.267(16.267%)(0.000m),30.396(30.396%)(1.114m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.356(25.890%)(0.038m),40.000(100.000%)(3.214m),None,None
14,1,-0.9434,-3.0482,0.373,208,513,0.974,45,0.00,241,275.32,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),55.479(55.479%)(3.801m),21.338(21.338%)(0.143m),11.500(14.374%)(0.000m),40.000(100.000%)(3.214m),9.923(24.807%)(0.000m),None,None
15,1,-1.4433,-2.9412,0.301,340,858,0.972,60,0.00,275,444.85,0,0,69.098(86.372%)(5.260m),83.000(83.000%)(6.750m),82.324(82.324%)(6.678m),25.925(25.925%)(0.635m),12.540(15.675%)(0.000m),40.000(100.000%)(3.214m),9.784(24.459%)(0.000m),None,None
16,1,-2.2743,-2.8995,0.203,210,517,0.970,45,0.00,296,286.92,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),68.799(68.799%)(5.228m),25.902(25.902%)(0.632m),12.535(15.669%)(0.000m),40.000(100.000%)(3.214m),9.780(24.451%)(0.000m),None,None
