episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,-3.9161,-3.9161,0.000,94,225,1.000,15,0.00,10,187.26,0,0,77.786(97.233%)(6.191m),94.292(94.292%)(7.960m),24.028(24.028%)(0.432m),14.328(14.328%)(0.000m),9.489(11.862%)(0.000m),40.000(100.000%)(3.214m),10.728(26.820%)(0.078m),None,None
2,1,-5.9056,-4.9108,0.000,93,222,0.998,15,0.00,20,182.26,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),25.961(25.961%)(0.639m),15.481(15.481%)(0.000m),10.253(12.816%)(0.000m),40.000(100.000%)(3.214m),11.591(28.978%)(0.170m),None,None
3,1,-0.8980,-3.5732,0.000,256,627,0.996,35,0.00,46,527.32,0,0,54.187(67.734%)(3.663m),68.000(68.000%)(5.143m),23.558(23.558%)(0.381m),14.664(14.664%)(0.000m),9.995(12.494%)(0.000m),39.504(98.761%)(3.161m),11.875(29.688%)(0.201m),1987.173,3334.910
4,1,-2.7446,-3.3660,0.860,178,450,0.994,30,0.00,64,462.81,0,0,52.308(65.385%)(3.462m),83.000(83.000%)(6.750m),26.599(26.599%)(0.707m),15.486(15.486%)(0.000m),10.103(12.628%)(0.000m),38.313(95.783%)(3.034m),11.143(27.858%)(0.122m),2072.618,3508.909
5,1,-2.7779,-3.2484,0.732,146,368,0.992,25,0.00,79,520.71,0,0,77.786(97.233%)(6.191m),94.000(94.000%)(7.929m),39.408(39.408%)(2.079m),18.883(18.883%)(0.000m),11.100(13.875%)(0.000m),40.000(100.000%)(3.214m),10.570(26.425%)(0.061m),None,None
6,1,-4.4755,-3.4529,0.694,83,201,0.990,15,0.00,88,246.12,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),26.977(26.977%)(0.748m),15.509(15.509%)(0.000m),10.039(12.549%)(0.000m),40.000(100.000%)(3.214m),10.938(27.344%)(0.100m),None,None
7,1,-2.8730,-3.3701,0.725,106,274,0.988,20,0.00,99,308.62,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),27.310(27.310%)(0.783m),15.495(15.495%)(0.000m),9.952(12.439%)(0.000m),40.000(100.000%)(3.214m),10.710(26.774%)(0.076m),None,None
8,1,-3.8786,-3.4337,0.573,107,262,0.986,20,0.00,110,376.80,0,0,78.639(98.299%)(6.283m),55.685(55.685%)(3.823m),20.641(20.641%)(0.069m),13.222(13.222%)(0.000m),9.197(11.496%)(0.000m),40.000(100.000%)(3.214m),11.347(28.367%)(0.144m),None,None
9,1,-3.7721,-3.4713,0.417,88,214,0.984,15,0.00,119,214.02,0,0,11.551(14.439%)(0.000m),20.938(20.938%)(0.100m),50.957(50.957%)(3.317m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),10.218(25.544%)(0.023m),40.000(100.000%)(3.214m),None,None
10,1,-1.7914,-3.3033,0.476,120,313,0.982,20,0.00,131,386.12,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),69.575(69.575%)(5.312m),26.076(26.076%)(0.651m),12.613(15.766%)(0.000m),40.000(100.000%)(3.214m),9.840(24.601%)(0.000m),None,None
11,1,-0.5772,-3.0555,0.492,264,675,0.980,35,0.00,158,823.17,0,0,10.549(13.187%)(0.000m),16.696(16.696%)(0.000m),30.261(30.261%)(1.099m),49.000(49.000%)(3.107m),44.000(55.000%)(2.571m),11.078(27.695%)(0.116m),37.556(93.891%)(2.952m),850.087,2139.741
12,1,-3.3666,-3.0814,0.571,167,420,0.978,25,0.00,175,479.89,0,0,74.939(93.673%)(5.886m),74.855(74.855%)(5.877m),23.121(23.121%)(0.334m),14.246(14.246%)(0.000m),9.642(12.053%)(0.000m),40.000(100.000%)(3.214m),11.314(28.285%)(0.141m),1693.261,1809.513
13,1,-2.3020,-3.0214,0.416,225,571,0.976,35,0.00,198,563.14,0,0,57.000(71.250%)(3.964m),71.000(71.000%)(5.464m),67.266(67.266%)(5.064m),22.943(22.943%)(0.315m),11.909(14.886%)(0.000m),40.000(100.000%)(3.214m),9.898(24.746%)(0.000m),3609.827,3678.466
14,1,-2.3613,-2.9743,0.259,196,512,0.974,30,0.00,218,656.87,0,0,8.751(10.938%)(0.000m),11.896(11.896%)(0.000m),17.282(17.282%)(0.000m),36.067(36.067%)(1.722m),49.053(61.317%)(3.113m),12.125(30.313%)(0.228m),35.649(89.124%)(2.748m),1166.197,1616.791
15,1,-6.2903,-3.1953,0.262,315,783,0.972,40,0.00,250,1006.49,0,0,39.090(48.863%)(2.045m),48.000(48.000%)(3.000m),34.478(34.478%)(1.551m),17.847(17.847%)(0.000m),10.894(13.617%)(0.000m),28.238(70.595%)(1.954m),10.894(27.234%)(0.096m),991.488,1666.297
16,1,-2.1093,-3.1275,0.193,103,257,0.970,20,0.00,261,360.59,0,0,78.639(98.299%)(6.283m),55.423(55.423%)(3.795m),20.544(20.544%)(0.058m),13.160(13.160%)(0.000m),9.154(11.442%)(0.000m),40.000(100.000%)(3.214m),11.294(28.234%)(0.139m),None,None
17,1,-3.8225,-3.1684,0.171,98,244,0.968,20,0.00,271,305.71,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),46.610(46.610%)(2.851m),20.288(20.288%)(0.031m),11.444(14.305%)(0.000m),40.000(100.000%)(3.214m),10.375(25.939%)(0.040m),None,None
