episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,-7.8416,-7.8416,0.000,577,1400,1.000,75,0.00,58,497.19,0,0,27.422(34.277%)(0.795m),53.018(53.018%)(3.538m),89.829(89.829%)(7.482m),28.330(28.330%)(0.893m),13.059(16.324%)(0.000m),19.604(49.009%)(1.029m),9.802(24.506%)(0.000m),None,None
2,1,-2.3462,-5.0939,0.156,155,376,0.998,40,0.00,74,195.12,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),29.653(29.653%)(1.034m),16.596(16.596%)(0.000m),10.573(13.216%)(0.000m),40.000(100.000%)(3.214m),11.240(28.099%)(0.133m),None,None
3,1,-2.8750,-4.3543,0.259,89,229,0.996,30,0.00,83,144.59,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),49.858(49.858%)(3.199m),20.486(20.486%)(0.052m),11.302(14.127%)(0.000m),40.000(100.000%)(3.214m),9.997(24.993%)(0.000m),None,None
4,1,1.2978,-2.9413,0.292,309,830,0.994,60,0.00,114,452.39,0,0,38.471(48.089%)(1.979m),71.744(71.744%)(5.544m),29.000(29.000%)(0.964m),21.000(21.000%)(0.107m),28.000(35.000%)(0.857m),27.860(69.649%)(1.914m),40.000(100.000%)(3.214m),0.000,858.750
5,1,-2.6296,-2.8789,0.327,170,429,0.992,45,0.00,131,235.23,0,0,11.614(14.517%)(0.000m),21.051(21.051%)(0.113m),51.233(51.233%)(3.346m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.273(25.682%)(0.029m),40.000(100.000%)(3.214m),None,None
6,1,-3.2872,-2.9470,0.289,186,457,0.990,45,0.00,150,242.08,0,0,54.209(67.761%)(3.665m),100.000(100.000%)(8.571m),27.058(27.058%)(0.756m),15.352(15.352%)(0.000m),9.859(12.324%)(0.000m),39.538(98.845%)(3.165m),10.611(26.526%)(0.065m),None,None
7,1,-5.7392,-3.3459,0.229,463,1195,0.988,70,0.00,197,586.00,0,0,28.700(35.875%)(0.932m),59.382(59.382%)(4.220m),72.325(72.325%)(5.606m),23.842(23.842%)(0.412m),12.046(15.058%)(0.000m),20.515(51.288%)(1.127m),9.764(24.410%)(0.000m),931.633,1165.594
8,1,-2.7407,-3.2702,0.111,409,1030,0.986,65,0.00,238,640.60,0,0,11.724(14.655%)(0.000m),21.498(21.498%)(0.161m),54.015(54.015%)(3.645m),65.000(65.000%)(4.821m),39.478(49.348%)(2.087m),10.243(25.608%)(0.026m),28.572(71.431%)(1.990m),2524.519,3661.233
9,1,-5.8328,-3.5549,0.097,244,620,0.984,50,0.00,263,296.07,0,0,11.099(13.873%)(0.000m),18.880(18.880%)(0.000m),39.403(39.403%)(2.079m),53.811(53.811%)(3.623m),27.617(34.521%)(0.816m),10.569(26.422%)(0.061m),19.732(49.330%)(1.043m),None,None
10,1,-2.3030,-3.4297,0.099,242,588,0.982,50,0.00,288,357.36,0,0,11.467(14.334%)(0.000m),21.277(21.277%)(0.137m),54.685(54.685%)(3.716m),100.000(100.000%)(8.571m),67.584(84.480%)(5.098m),9.895(24.737%)(0.000m),40.000(100.000%)(3.214m),None,None
11,1,-4.0924,-3.4900,0.135,72,175,0.980,25,0.00,296,78.36,0,0,78.639(98.299%)(6.283m),85.945(85.945%)(7.066m),25.068(25.068%)(0.543m),15.284(15.284%)(0.000m),10.272(12.839%)(0.000m),40.000(100.000%)(3.214m),11.904(29.759%)(0.204m),None,None
