episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
121,2,-1.7966,-1.9444,0.319,213,607,0.786,70,0.83,2736,218.34,0,0,11.742(14.677%)(0.000m),22.054(22.054%)(0.220m),59.262(59.262%)(4.207m),73.400(73.400%)(5.721m),35.479(44.349%)(1.658m),10.007(25.016%)(0.001m),25.394(63.486%)(1.649m),864.763,1081.007
122,2,-0.7440,-1.8732,0.459,228,654,0.785,70,0.82,2759,204.06,0,0,52.073(65.091%)(3.436m),100.000(100.000%)(8.571m),20.000(20.000%)(0.000m),20.000(20.000%)(0.000m),26.000(32.500%)(0.643m),37.804(94.510%)(2.979m),40.000(100.000%)(3.214m),0.000,592.173
123,2,-0.6893,-1.9184,0.336,120,323,0.783,50,0.81,2771,125.71,0,0,72.027(90.033%)(5.574m),97.818(97.818%)(8.338m),24.927(24.927%)(0.528m),14.864(14.864%)(0.000m),9.844(12.305%)(0.000m),40.000(100.000%)(3.214m),11.129(27.823%)(0.121m),None,None
124,2,-3.6078,-1.8740,0.322,98,239,0.782,40,0.81,2781,101.84,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),32.636(32.636%)(1.354m),17.466(17.466%)(0.000m),10.851(13.563%)(0.000m),40.000(100.000%)(3.214m),11.119(27.798%)(0.120m),None,None
125,2,-5.2741,-1.9656,0.294,442,1120,0.780,80,0.80,2826,470.30,0,0,12.368(15.460%)(0.000m),24.826(24.826%)(0.517m),76.788(76.788%)(6.084m),64.000(64.000%)(4.714m),47.000(58.750%)(2.893m),9.899(24.747%)(0.000m),36.706(91.765%)(2.861m),1534.253,2647.475
126,2,0.6889,-1.9503,0.319,239,711,0.779,75,0.79,2850,259.15,0,0,42.000(52.500%)(2.357m),64.000(64.000%)(4.714m),53.590(53.590%)(3.599m),21.329(21.329%)(0.142m),11.632(14.540%)(0.000m),31.000(77.500%)(2.250m),10.162(25.406%)(0.017m),623.741,846.512
127,2,-2.6008,-2.0198,0.411,127,309,0.777,45,0.79,2863,118.03,0,0,10.310(12.887%)(0.000m),16.891(16.891%)(0.000m),32.630(32.630%)(1.353m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),10.310(25.775%)(0.033m),40.000(100.000%)(3.214m),None,None
128,2,-3.8266,-2.1486,0.324,196,492,0.775,60,0.78,2883,201.89,0,0,9.251(11.564%)(0.000m),13.389(13.389%)(0.000m),21.096(21.096%)(0.117m),59.227(59.227%)(4.203m),49.506(61.883%)(3.161m),11.271(28.176%)(0.136m),36.302(90.754%)(2.818m),None,None
129,2,-3.3027,-2.1550,0.315,94,239,0.774,40,0.78,2893,95.39,0,0,9.903(12.379%)(0.000m),14.952(14.952%)(0.000m),25.075(25.075%)(0.544m),98.400(98.400%)(8.400m),77.067(96.334%)(6.114m),11.195(27.988%)(0.128m),40.000(100.000%)(3.214m),None,None
130,2,2.8734,-2.1855,0.307,280,731,0.772,70,0.77,2921,325.78,0,0,9.751(12.189%)(0.000m),14.723(14.723%)(0.000m),24.691(24.691%)(0.503m),75.000(75.000%)(5.893m),66.117(82.646%)(4.941m),11.024(27.560%)(0.110m),40.000(100.000%)(3.214m),1461.109,1589.172
131,2,-3.0283,-2.2094,0.361,76,191,0.771,35,0.76,2929,80.15,0,0,8.607(10.758%)(0.000m),11.701(11.701%)(0.000m),16.998(16.998%)(0.000m),35.475(35.475%)(1.658m),77.067(96.334%)(6.114m),11.926(29.815%)(0.206m),40.000(100.000%)(3.214m),None,None
132,2,-0.1632,-2.1973,0.314,433,1101,0.769,80,0.76,2973,449.69,0,0,36.213(45.267%)(1.737m),20.000(20.000%)(0.000m),20.000(20.000%)(0.000m),22.000(22.000%)(0.214m),67.632(84.540%)(5.103m),26.069(65.173%)(1.722m),40.000(100.000%)(3.214m),0.000,1167.388
133,2,-1.7746,-2.2330,0.336,165,413,0.768,55,0.75,2990,170.35,0,0,59.137(73.921%)(4.193m),67.571(67.571%)(5.097m),23.047(23.047%)(0.326m),14.488(14.488%)(0.000m),9.943(12.429%)(0.000m),40.000(100.000%)(3.214m),11.963(29.907%)(0.210m),None,None
134,2,8.3423,-1.9752,0.349,332,879,0.766,80,0.75,3024,353.14,0,0,35.623(44.529%)(1.674m),68.547(68.547%)(5.201m),33.000(33.000%)(1.393m),22.000(22.000%)(0.214m),30.000(37.500%)(1.071m),25.501(63.752%)(1.661m),40.000(100.000%)(3.214m),0.000,1085.046
135,2,-0.4742,-1.9246,0.311,526,1367,0.765,85,0.74,3077,532.57,0,0,18.486(23.107%)(0.000m),39.051(39.051%)(2.041m),76.000(76.000%)(6.000m),60.000(60.000%)(4.286m),19.000(23.750%)(0.000m),12.989(32.472%)(0.320m),10.000(25.000%)(0.000m),1005.665,2840.589
136,2,-1.5910,-2.0329,0.233,229,566,0.763,65,0.74,3100,207.82,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),53.709(53.709%)(3.612m),21.376(21.376%)(0.147m),11.658(14.572%)(0.000m),40.000(100.000%)(3.214m),10.185(25.462%)(0.020m),None,None
137,2,1.1610,-1.9168,0.352,174,511,0.762,65,0.73,3118,176.03,0,0,61.456(76.820%)(4.442m),73.451(73.451%)(5.727m),23.895(23.895%)(0.417m),14.874(14.874%)(0.000m),10.138(12.673%)(0.000m),40.000(100.000%)(3.214m),12.045(30.113%)(0.219m),986.996,1011.442
138,2,0.9003,-1.8471,0.351,152,416,0.760,55,0.72,3134,162.57,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),50.264(50.264%)(3.243m),20.653(20.653%)(0.070m),11.394(14.242%)(0.000m),40.000(100.000%)(3.214m),10.079(25.196%)(0.008m),None,None
139,2,-2.1614,-1.8256,0.352,153,389,0.759,55,0.72,3150,161.51,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),58.907(58.907%)(4.169m),22.529(22.529%)(0.271m),11.994(14.993%)(0.000m),40.000(100.000%)(3.214m),10.222(25.555%)(0.024m),None,None
140,2,-0.4140,-1.8278,0.307,165,408,0.757,55,0.71,3167,170.77,0,0,68.983(86.229%)(5.248m),100.000(100.000%)(8.571m),41.250(41.250%)(2.277m),19.335(19.335%)(0.000m),11.254(14.067%)(0.000m),40.000(100.000%)(3.214m),10.586(26.465%)(0.063m),None,None
141,2,-4.5417,-1.8990,0.479,104,251,0.756,40,0.71,3178,95.66,0,0,10.590(13.238%)(0.000m),17.350(17.350%)(0.000m),33.518(33.518%)(1.448m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.590(26.476%)(0.063m),40.000(100.000%)(3.214m),None,None
142,2,-0.4249,-1.8671,0.314,108,292,0.754,45,0.70,3189,118.39,0,0,9.610(12.012%)(0.000m),13.549(13.549%)(0.000m),20.608(20.608%)(0.065m),50.155(50.155%)(3.231m),76.230(95.288%)(6.025m),12.317(30.792%)(0.248m),40.000(100.000%)(3.214m),None,None
143,2,-1.7913,-1.8823,0.275,314,846,0.753,75,0.70,3221,323.40,0,0,25.726(32.157%)(0.613m),42.000(42.000%)(2.357m),28.284(28.284%)(0.888m),16.048(16.048%)(0.000m),10.306(12.883%)(0.000m),18.317(45.793%)(0.891m),11.091(27.728%)(0.117m),421.159,935.955
144,2,0.1094,-1.8035,0.295,158,420,0.751,55,0.69,3237,162.00,0,0,12.325(15.407%)(0.000m),24.740(24.740%)(0.508m),68.452(68.452%)(5.191m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),9.864(24.661%)(0.000m),40.000(100.000%)(3.214m),None,None
145,2,-1.4752,-1.7938,0.327,318,851,0.750,75,0.69,3269,345.49,0,0,38.072(47.590%)(1.936m),22.000(22.000%)(0.214m),20.000(20.000%)(0.000m),20.000(20.000%)(0.000m),48.314(60.392%)(3.034m),27.476(68.690%)(1.872m),34.936(87.339%)(2.672m),0.000,815.888
146,2,-2.5518,-1.8817,0.317,550,1358,0.748,85,0.68,3324,514.94,0,0,31.000(38.750%)(1.179m),36.000(36.000%)(1.714m),32.525(32.525%)(1.342m),16.836(16.836%)(0.000m),10.277(12.846%)(0.000m),36.332(90.829%)(2.821m),10.277(25.691%)(0.030m),391.231,2497.489
147,2,-0.0579,-1.8433,0.292,251,646,0.747,70,0.68,3350,231.73,0,0,12.689(15.862%)(0.000m),26.602(26.602%)(0.707m),84.188(84.188%)(6.877m),100.000(100.000%)(8.571m),58.012(72.515%)(4.073m),9.774(24.435%)(0.000m),40.000(100.000%)(3.214m),None,None
148,2,-6.3474,-2.0538,0.271,246,599,0.745,65,0.68,3375,210.25,0,0,48.410(60.512%)(3.044m),69.357(69.357%)(5.288m),22.564(22.564%)(0.275m),14.045(14.045%)(0.000m),9.573(11.966%)(0.000m),35.330(88.326%)(2.714m),11.374(28.435%)(0.147m),None,None
149,2,0.5935,-2.0062,0.362,212,573,0.744,65,0.67,3397,204.85,0,0,9.588(11.985%)(0.000m),13.519(13.519%)(0.000m),20.562(20.562%)(0.060m),50.042(50.042%)(3.219m),50.917(63.647%)(3.313m),12.289(30.723%)(0.245m),36.951(92.377%)(2.888m),1348.695,1508.009
150,2,-1.1767,-1.9299,0.266,125,320,0.742,50,0.67,3410,95.85,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),76.583(76.583%)(6.062m),28.675(28.675%)(0.929m),13.236(16.545%)(0.000m),40.000(100.000%)(3.214m),9.679(24.197%)(0.000m),None,None
