episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,-2.3785,-2.3785,0.000,322,809,1.000,40,0.00,33,651.31,0,0,46.856(58.570%)(2.877m),28.000(28.000%)(0.857m),20.000(20.000%)(0.000m),20.000(20.000%)(0.000m),24.000(30.000%)(0.429m),34.079(85.198%)(2.580m),40.000(100.000%)(3.214m),0.000,1399.994
2,1,-4.6364,-3.5074,0.374,304,752,0.998,40,0.00,64,673.57,0,0,50.000(62.500%)(3.214m),64.000(64.000%)(4.714m),58.773(58.773%)(4.154m),22.317(22.317%)(0.248m),11.734(14.667%)(0.000m),40.000(100.000%)(3.214m),9.876(24.690%)(0.000m),2447.570,3381.989
3,1,-2.7129,-3.2426,0.335,155,421,0.996,25,0.00,80,403.37,0,0,10.483(13.104%)(0.000m),16.456(16.456%)(0.000m),29.403(29.403%)(1.007m),70.000(70.000%)(5.357m),58.000(72.500%)(4.071m),11.145(27.862%)(0.123m),40.000(100.000%)(3.214m),1270.407,1405.547
4,1,-2.3121,-3.0100,0.351,113,286,0.994,20,0.00,92,270.79,0,0,11.899(14.873%)(0.000m),22.349(22.349%)(0.252m),58.613(58.613%)(4.137m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.140(25.351%)(0.015m),40.000(100.000%)(3.214m),None,None
5,1,-0.8068,-2.5693,0.463,119,305,0.992,20,0.00,104,315.45,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),33.425(33.425%)(1.438m),17.302(17.302%)(0.000m),10.561(13.201%)(0.000m),40.000(100.000%)(3.214m),10.561(26.402%)(0.060m),None,None
6,1,-5.1437,-2.9984,0.475,224,554,0.990,30,0.00,127,595.14,0,0,71.000(88.750%)(5.464m),74.000(74.000%)(5.786m),39.046(39.046%)(2.041m),18.709(18.709%)(0.000m),10.998(13.748%)(0.000m),40.000(100.000%)(3.214m),10.473(26.183%)(0.051m),1841.413,2941.418
7,1,-4.8016,-3.2560,0.406,97,234,0.988,15,0.00,137,244.85,0,0,10.508(13.135%)(0.000m),17.216(17.216%)(0.000m),33.258(33.258%)(1.421m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.508(26.270%)(0.054m),40.000(100.000%)(3.214m),None,None
8,1,-1.4306,-3.0278,0.386,294,774,0.986,40,0.00,167,785.31,0,0,39.887(49.859%)(2.131m),80.648(80.648%)(6.498m),40.000(40.000%)(2.143m),24.000(24.000%)(0.429m),12.000(15.000%)(0.000m),28.770(71.925%)(2.011m),10.000(25.000%)(0.000m),128.228,1320.973
9,1,-3.5018,-3.0805,0.336,110,266,0.984,20,0.00,178,294.14,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),51.238(51.238%)(3.347m),21.131(21.131%)(0.121m),11.658(14.572%)(0.000m),40.000(100.000%)(3.214m),10.312(25.780%)(0.033m),None,None
10,1,-3.9588,-3.1683,0.235,74,180,0.982,15,0.00,186,193.91,0,0,9.618(12.022%)(0.000m),14.522(14.522%)(0.000m),24.353(24.353%)(0.466m),95.569(95.569%)(8.097m),77.067(96.334%)(6.114m),10.873(27.183%)(0.094m),40.000(100.000%)(3.214m),None,None
11,1,-8.8512,-3.6850,0.270,370,901,0.980,45,0.00,223,937.85,0,0,30.577(38.222%)(1.133m),45.000(45.000%)(2.679m),25.270(25.270%)(0.565m),15.068(15.068%)(0.000m),9.980(12.475%)(0.000m),21.876(54.690%)(1.272m),11.282(28.206%)(0.137m),1377.196,2644.474
12,1,-3.1169,-3.6376,0.302,163,407,0.978,25,0.00,240,455.46,0,0,10.801(13.501%)(0.000m),17.695(17.695%)(0.000m),34.184(34.184%)(1.520m),94.000(94.000%)(7.929m),76.230(95.288%)(6.025m),10.801(27.002%)(0.086m),40.000(100.000%)(3.214m),None,None
13,1,-1.3668,-3.4629,0.306,200,498,0.976,30,0.00,260,526.46,0,0,74.000(92.500%)(5.786m),76.000(76.000%)(6.000m),25.175(25.175%)(0.554m),15.012(15.012%)(0.000m),9.942(12.428%)(0.000m),40.000(100.000%)(3.214m),11.240(28.100%)(0.133m),3208.117,4186.025
14,1,-5.4130,-3.6022,0.316,295,736,0.974,40,0.00,290,775.35,0,0,48.378(60.473%)(3.041m),55.000(55.000%)(3.750m),41.564(41.564%)(2.310m),19.483(19.483%)(0.000m),11.339(14.174%)(0.000m),35.161(87.902%)(2.696m),10.667(26.666%)(0.071m),1519.248,2445.962
15,1,-3.6068,-3.6025,0.342,80,199,0.972,15,0.00,298,198.72,0,0,9.632(12.040%)(0.000m),14.543(14.543%)(0.000m),24.390(24.390%)(0.470m),95.711(95.711%)(8.112m),77.067(96.334%)(6.114m),10.889(27.224%)(0.095m),40.000(100.000%)(3.214m),None,None
16,1,-3.4122,-3.5906,0.334,184,451,0.970,30,0.00,317,450.57,0,0,78.639(98.299%)(6.283m),92.000(92.000%)(7.714m),42.019(42.019%)(2.359m),19.243(19.243%)(0.000m),11.086(13.858%)(0.000m),40.000(100.000%)(3.214m),10.302(25.754%)(0.032m),None,None
17,1,-4.9650,-3.6715,0.338,243,610,0.968,35,0.00,342,632.69,0,0,9.759(12.199%)(0.000m),15.076(15.076%)(0.000m),26.224(26.224%)(0.667m),59.000(59.000%)(4.179m),43.782(54.728%)(2.548m),10.632(26.581%)(0.068m),31.855(79.639%)(2.342m),1467.322,2198.029
18,1,-2.8855,-3.6278,0.337,172,416,0.967,25,0.00,360,448.76,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),33.179(33.179%)(1.412m),17.175(17.175%)(0.000m),10.483(13.104%)(0.000m),40.000(100.000%)(3.214m),10.483(26.208%)(0.052m),None,None
19,1,-0.6942,-3.4734,0.321,138,364,0.965,25,0.00,374,344.69,0,0,69.057(86.321%)(5.256m),84.000(84.000%)(6.857m),26.074(26.074%)(0.651m),15.181(15.181%)(0.000m),9.903(12.379%)(0.000m),40.000(100.000%)(3.214m),10.923(27.308%)(0.099m),1651.428,1760.657
20,1,-1.6120,-3.3803,0.235,195,484,0.963,30,0.00,394,504.43,0,0,68.939(86.174%)(5.243m),63.489(63.489%)(4.660m),21.655(21.655%)(0.177m),13.613(13.613%)(0.000m),9.343(11.678%)(0.000m),40.000(100.000%)(3.214m),11.240(28.100%)(0.133m),2872.447,3708.336
21,1,-2.5636,-3.3414,0.244,111,277,0.961,20,0.00,406,293.05,0,0,10.255(12.819%)(0.000m),15.370(15.370%)(0.000m),25.486(25.486%)(0.588m),93.122(93.122%)(7.835m),77.067(96.334%)(6.114m),11.738(29.344%)(0.186m),40.000(100.000%)(3.214m),None,None
22,1,-1.5033,-3.2579,0.222,108,286,0.959,20,0.00,417,271.95,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),29.905(29.905%)(1.061m),16.004(16.004%)(0.000m),9.943(12.428%)(0.000m),40.000(100.000%)(3.214m),10.189(25.472%)(0.020m),None,None
23,1,-7.0657,-3.4235,0.205,317,800,0.957,40,0.00,449,793.46,0,0,35.770(44.713%)(1.690m),41.000(41.000%)(2.250m),21.027(21.027%)(0.110m),13.469(13.469%)(0.000m),9.369(11.711%)(0.000m),25.734(64.335%)(1.686m),11.559(28.898%)(0.167m),808.604,2439.615
24,1,-3.6297,-3.4320,0.232,328,811,0.955,40,0.00,482,861.99,0,0,29.360(36.699%)(1.003m),45.000(45.000%)(2.679m),32.369(32.369%)(1.325m),17.323(17.323%)(0.000m),10.762(13.453%)(0.000m),20.973(52.433%)(1.176m),11.028(27.571%)(0.110m),1232.166,1587.490
25,1,-1.9827,-3.3741,0.246,211,522,0.953,30,0.00,504,560.46,0,0,11.345(14.182%)(0.000m),20.335(20.335%)(0.036m),48.039(48.039%)(3.004m),100.000(100.000%)(8.571m),76.000(95.000%)(6.000m),10.160(25.401%)(0.017m),40.000(100.000%)(3.214m),None,None
26,1,-2.2000,-3.3289,0.238,169,409,0.951,25,0.00,521,446.29,0,0,63.088(78.860%)(4.617m),51.247(51.247%)(3.348m),21.057(21.057%)(0.113m),13.844(13.844%)(0.000m),9.819(12.274%)(0.000m),40.000(100.000%)(3.214m),12.585(31.463%)(0.277m),None,None
27,1,0.7549,-3.1777,0.249,219,544,0.949,30,0.00,543,612.30,0,0,11.636(14.546%)(0.000m),21.337(21.337%)(0.143m),53.611(53.611%)(3.601m),82.000(82.000%)(6.643m),71.000(88.750%)(5.464m),10.166(25.416%)(0.018m),40.000(100.000%)(3.214m),None,None
28,1,-4.3796,-3.2206,0.223,135,325,0.947,20,0.00,557,379.71,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),40.466(40.466%)(2.193m),18.968(18.968%)(0.000m),11.040(13.800%)(0.000m),40.000(100.000%)(3.214m),10.385(25.962%)(0.041m),None,None
