episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,-2.5771,-2.5771,0.000,134,345,1.000,25,0.00,14,261.26,0,0,78.639(98.299%)(6.283m),97.000(97.000%)(8.250m),50.827(50.827%)(3.303m),20.884(20.884%)(0.095m),11.521(14.402%)(0.000m),40.000(100.000%)(3.214m),10.191(25.478%)(0.021m),None,None
2,1,-3.3945,-2.9858,0.000,338,842,0.998,40,0.00,48,696.10,0,0,41.873(52.342%)(2.344m),82.364(82.364%)(6.682m),46.000(46.000%)(2.786m),21.000(21.000%)(0.107m),26.000(32.500%)(0.643m),30.300(75.750%)(2.175m),40.000(100.000%)(3.214m),0.000,1618.930
3,1,-7.1906,-4.3874,0.300,372,930,0.996,45,0.00,86,803.70,0,0,22.000(27.500%)(0.214m),23.000(23.000%)(0.321m),16.672(16.672%)(0.000m),11.789(11.789%)(0.000m),8.871(11.089%)(0.000m),26.034(65.084%)(1.718m),12.969(32.422%)(0.318m),28.494,2823.324
4,1,-3.5488,-4.1777,0.406,99,244,0.994,20,0.00,96,234.18,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),26.611(26.611%)(0.708m),15.683(15.683%)(0.000m),10.310(12.887%)(0.000m),40.000(100.000%)(3.214m),11.512(28.780%)(0.162m),None,None
5,1,-3.2843,-3.9991,0.447,189,463,0.992,30,0.00,115,488.43,0,0,10.527(13.159%)(0.000m),17.404(17.404%)(0.000m),34.229(34.229%)(1.524m),93.000(93.000%)(7.821m),61.573(76.966%)(4.454m),10.399(25.998%)(0.043m),40.000(100.000%)(3.214m),None,None
6,1,0.3816,-3.2689,0.468,206,511,0.990,30,0.00,136,517.68,0,0,10.291(12.864%)(0.000m),16.860(16.860%)(0.000m),32.571(32.571%)(1.347m),81.000(81.000%)(6.536m),67.684(84.605%)(5.109m),10.291(25.728%)(0.031m),40.000(100.000%)(3.214m),3260.158,4399.906
7,1,-2.9014,-3.2164,0.511,109,272,0.988,20,0.00,147,265.09,0,0,78.639(98.299%)(6.283m),51.213(51.213%)(3.344m),20.383(20.383%)(0.041m),13.289(13.289%)(0.000m),9.365(11.706%)(0.000m),40.000(100.000%)(3.214m),11.851(29.627%)(0.198m),None,None
8,1,-2.3807,-3.1120,0.484,170,428,0.986,25,0.00,164,394.63,0,0,78.639(98.299%)(6.283m),94.000(94.000%)(7.929m),92.758(92.758%)(7.795m),25.991(25.991%)(0.642m),12.572(15.714%)(0.000m),40.000(100.000%)(3.214m),9.808(24.521%)(0.000m),None,None
9,1,-4.5435,-3.2710,0.497,103,246,0.984,20,0.00,175,266.03,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),33.484(33.484%)(1.445m),17.333(17.333%)(0.000m),10.580(13.225%)(0.000m),40.000(100.000%)(3.214m),10.580(26.449%)(0.062m),None,None
10,1,-3.0633,-3.2503,0.458,95,231,0.982,15,0.00,185,233.70,0,0,9.308(11.635%)(0.000m),13.124(13.124%)(0.000m),19.961(19.961%)(0.000m),48.581(48.581%)(3.062m),67.642(84.553%)(5.105m),11.930(29.826%)(0.207m),40.000(100.000%)(3.214m),None,None
11,1,-5.3224,-3.4386,0.356,334,832,0.980,40,0.00,219,775.46,0,0,32.000(40.000%)(1.286m),33.000(33.000%)(1.393m),28.500(28.500%)(0.911m),16.171(16.171%)(0.000m),10.385(12.981%)(0.000m),26.173(65.433%)(1.733m),11.176(27.941%)(0.126m),637.980,1373.790
12,1,-3.6588,-3.4570,0.315,164,429,0.978,25,0.00,236,396.12,0,0,69.000(86.250%)(5.250m),76.000(76.000%)(6.000m),27.607(27.607%)(0.815m),15.664(15.664%)(0.000m),10.060(12.574%)(0.000m),40.000(100.000%)(3.214m),10.826(27.065%)(0.089m),1898.645,2575.271
13,1,-2.5884,-3.3902,0.316,117,294,0.976,20,0.00,248,279.47,0,0,10.848(13.560%)(0.000m),18.275(18.275%)(0.000m),37.354(37.354%)(1.859m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),10.457(26.143%)(0.049m),40.000(100.000%)(3.214m),None,None
14,1,-1.2094,-3.2344,0.269,256,696,0.974,40,0.00,274,598.13,0,0,23.000(28.750%)(0.321m),34.000(34.000%)(1.500m),34.734(34.734%)(1.579m),17.980(17.980%)(0.000m),10.975(13.718%)(0.000m),25.000(62.500%)(1.607m),10.975(27.437%)(0.104m),1556.915,1731.628
15,1,-3.3843,-3.2444,0.268,118,288,0.972,20,0.00,286,307.31,0,0,9.450(11.813%)(0.000m),13.497(13.497%)(0.000m),20.883(20.883%)(0.095m),54.297(54.297%)(3.675m),77.067(96.334%)(6.114m),11.808(29.520%)(0.194m),40.000(100.000%)(3.214m),None,None
