episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1159,1,38.5015,27.7695,0.223,1460,3963,0.098,90,0.26,50000,4794.91,0,0,21.323(26.654%)(0.142m),20.000(20.000%)(0.000m),22.000(22.000%)(0.214m),31.000(31.000%)(1.179m),19.209(24.011%)(0.000m),15.084(37.711%)(0.545m),13.513(33.782%)(0.376m),0.000,1581.064
1160,1,10.8854,27.8696,0.207,503,1344,0.098,55,0.26,50000,1582.02,0,0,18.823(23.528%)(0.000m),34.000(34.000%)(1.500m),31.000(31.000%)(1.179m),17.000(17.000%)(0.000m),21.000(26.250%)(0.107m),13.310(33.275%)(0.355m),23.000(57.500%)(1.393m),149.345,986.399
1161,1,60.6072,28.9254,0.217,2698,7222,0.098,100,0.34,50000,7776.63,1,1,17.979(22.474%)(0.000m),36.000(36.000%)(1.714m),41.000(41.000%)(2.250m),30.000(30.000%)(1.071m),18.291(22.864%)(0.000m),12.695(31.738%)(0.289m),12.915(32.286%)(0.312m),83.596,1555.278
1162,1,15.2313,28.9915,0.194,540,1434,0.098,60,0.34,50000,1716.49,0,0,10.000(12.500%)(0.000m),15.000(15.000%)(0.000m),24.000(24.000%)(0.429m),36.000(36.000%)(1.714m),23.405(29.256%)(0.365m),27.000(67.500%)(1.821m),16.597(41.492%)(0.707m),157.822,1362.308
1163,1,13.8351,28.8038,0.224,363,1027,0.098,50,0.34,50000,1199.10,0,0,22.000(27.500%)(0.214m),19.000(19.000%)(0.000m),23.000(23.000%)(0.321m),31.000(31.000%)(1.179m),25.000(31.250%)(0.536m),17.906(44.766%)(0.847m),26.000(65.000%)(1.714m),0.000,781.271
1164,1,42.8132,28.3625,0.221,1861,5111,0.097,95,0.34,50000,5474.24,0,0,20.527(25.659%)(0.057m),21.000(21.000%)(0.107m),31.000(31.000%)(1.179m),30.000(30.000%)(1.071m),15.301(19.126%)(0.000m),14.465(36.163%)(0.478m),10.741(26.853%)(0.079m),0.000,1064.855
1165,1,9.7397,28.1582,0.200,311,813,0.097,40,0.34,50000,930.49,0,0,29.000(36.250%)(0.964m),41.000(41.000%)(2.250m),49.000(49.000%)(3.107m),25.664(25.664%)(0.607m),12.601(15.752%)(0.000m),33.000(82.500%)(2.464m),9.958(24.895%)(0.000m),413.586,1284.029
1166,1,24.3211,27.9892,0.226,786,2092,0.097,70,0.34,50000,2228.08,0,0,22.000(27.500%)(0.214m),20.000(20.000%)(0.000m),20.000(20.000%)(0.000m),20.000(20.000%)(0.000m),24.000(30.000%)(0.429m),15.000(37.500%)(0.536m),17.833(44.583%)(0.839m),0.000,1356.183
1167,1,39.2887,28.1149,0.187,2141,5718,0.097,95,0.34,50000,6647.95,0,0,16.712(20.890%)(0.000m),31.000(31.000%)(1.179m),20.000(20.000%)(0.000m),21.000(21.000%)(0.107m),17.125(21.406%)(0.000m),11.772(29.431%)(0.190m),12.047(30.118%)(0.219m),0.000,1317.420
1168,1,47.1922,28.4215,0.184,2254,5961,0.097,95,0.34,50000,6653.52,0,0,17.562(21.953%)(0.000m),30.000(30.000%)(1.071m),20.000(20.000%)(0.000m),20.000(20.000%)(0.000m),18.135(22.669%)(0.000m),12.391(30.978%)(0.256m),12.812(32.031%)(0.301m),0.000,1439.357
