episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,-1.8501,-1.8501,0.000,85,229,1.000,15,0.00,9,172.84,0,0,10.560(13.200%)(0.000m),16.575(16.575%)(0.000m),29.617(29.617%)(1.030m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),11.226(28.064%)(0.131m),40.000(100.000%)(3.214m),None,None
2,1,-2.6541,-2.2521,0.000,107,273,0.998,20,0.00,20,219.37,0,0,10.337(12.921%)(0.000m),16.497(16.497%)(0.000m),30.350(30.350%)(1.109m),100.000(100.000%)(8.571m),64.546(80.683%)(4.773m),10.723(26.808%)(0.077m),40.000(100.000%)(3.214m),None,None
3,1,-1.7759,-2.0934,0.000,119,304,0.996,20,0.00,32,246.34,0,0,78.639(98.299%)(6.283m),53.554(53.554%)(3.595m),21.314(21.314%)(0.141m),13.896(13.896%)(0.000m),9.793(12.241%)(0.000m),40.000(100.000%)(3.214m),12.393(30.981%)(0.256m),None,None
4,1,-3.4815,-2.4404,0.000,91,238,0.994,20,0.00,42,177.16,0,0,13.687(17.109%)(0.000m),29.490(29.490%)(1.017m),77.875(77.875%)(6.201m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),9.598(23.994%)(0.000m),40.000(100.000%)(3.214m),None,None
5,1,-3.6616,-2.6846,0.000,96,239,0.992,20,0.00,52,190.82,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),29.654(29.654%)(1.034m),16.361(16.361%)(0.000m),10.338(12.922%)(0.000m),40.000(100.000%)(3.214m),10.856(27.140%)(0.092m),None,None
6,1,-5.2091,-3.1054,0.775,332,824,0.990,40,0.00,86,745.26,0,0,21.194(26.493%)(0.128m),44.111(44.111%)(2.583m),73.645(73.645%)(5.748m),25.926(25.926%)(0.635m),12.540(15.675%)(0.000m),15.035(37.588%)(0.539m),9.784(24.459%)(0.000m),2310.700,2800.563
7,1,-2.6586,-3.0416,0.836,130,320,0.988,20,0.00,99,321.39,0,0,69.098(86.372%)(5.260m),100.000(100.000%)(8.571m),26.215(26.215%)(0.666m),15.632(15.632%)(0.000m),10.353(12.941%)(0.000m),40.000(100.000%)(3.214m),11.704(29.261%)(0.183m),None,None
8,1,-0.0747,-2.6707,0.777,320,804,0.986,40,0.00,131,806.61,0,0,10.729(13.411%)(0.000m),17.577(17.577%)(0.000m),33.956(33.956%)(1.495m),53.000(53.000%)(3.536m),38.000(47.500%)(1.929m),10.729(26.822%)(0.078m),40.000(100.000%)(3.214m),1809.504,2781.082
9,1,-3.6718,-2.7819,0.370,483,1202,0.984,50,0.00,180,1209.69,0,0,12.861(16.076%)(0.000m),27.456(27.456%)(0.799m),40.000(40.000%)(2.143m),29.000(29.000%)(0.964m),17.000(21.250%)(0.000m),9.653(24.133%)(0.000m),21.000(52.500%)(1.179m),132.973,2173.061
10,1,-4.6160,-2.9653,0.274,97,236,0.982,20,0.00,190,235.00,0,0,11.380(14.224%)(0.000m),19.959(19.959%)(0.000m),44.670(44.670%)(2.643m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.445(26.112%)(0.048m),40.000(100.000%)(3.214m),None,None
