episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,-3.0896,-3.0896,0.000,112,273,1.000,30,0.00,12,98.89,0,0,77.786(97.233%)(6.191m),82.639(82.639%)(6.711m),24.104(24.104%)(0.440m),14.696(14.696%)(0.000m),9.876(12.346%)(0.000m),40.000(100.000%)(3.214m),11.446(28.614%)(0.155m),None,None
2,1,-3.8396,-3.4646,0.000,130,315,0.998,35,0.00,25,111.28,0,0,10.807(13.509%)(0.000m),17.705(17.705%)(0.000m),34.204(34.204%)(1.522m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.807(27.018%)(0.086m),40.000(100.000%)(3.214m),None,None
3,1,-4.6353,-3.8548,0.000,227,549,0.996,50,0.00,48,208.56,0,0,11.646(14.558%)(0.000m),21.875(21.875%)(0.201m),59.013(59.013%)(4.180m),85.765(85.765%)(7.046m),44.084(55.105%)(2.580m),9.925(24.814%)(0.000m),32.013(80.033%)(2.359m),None,None
4,1,-2.9729,-3.6343,0.000,73,187,0.994,25,0.00,56,76.41,0,0,77.786(97.233%)(6.191m),59.836(59.836%)(4.268m),22.180(22.180%)(0.234m),14.208(14.208%)(0.000m),9.883(12.353%)(0.000m),40.000(100.000%)(3.214m),12.193(30.482%)(0.235m),None,None
5,1,-0.3622,-2.9799,0.501,260,653,0.992,55,0.00,82,376.32,0,0,9.495(11.869%)(0.000m),14.336(14.336%)(0.000m),24.042(24.042%)(0.433m),94.346(94.346%)(7.966m),64.710(80.887%)(4.790m),10.734(26.835%)(0.079m),40.000(100.000%)(3.214m),None,None
6,1,-1.0369,-2.6561,0.383,188,480,0.990,45,0.00,101,271.17,0,0,69.057(86.321%)(5.256m),100.000(100.000%)(8.571m),36.516(36.516%)(1.770m),18.222(18.222%)(0.000m),10.919(13.649%)(0.000m),40.000(100.000%)(3.214m),10.656(26.639%)(0.070m),None,None
7,1,-3.9001,-2.8338,0.418,72,176,0.988,25,0.00,109,88.63,0,0,9.151(11.439%)(0.000m),12.743(12.743%)(0.000m),19.071(19.071%)(0.000m),43.814(43.814%)(2.552m),77.067(96.334%)(6.114m),12.035(30.087%)(0.218m),40.000(100.000%)(3.214m),None,None
8,1,4.7010,-1.8919,0.299,332,882,0.986,65,0.00,143,504.12,0,0,36.000(45.000%)(1.714m),43.000(43.000%)(2.464m),24.792(24.792%)(0.513m),14.783(14.783%)(0.000m),9.791(12.239%)(0.000m),40.000(100.000%)(3.214m),11.069(27.672%)(0.115m),318.300,872.227
9,1,0.0559,-1.6755,0.112,380,953,0.984,65,0.00,181,600.50,0,0,53.158(66.447%)(3.553m),80.000(80.000%)(6.429m),93.377(93.377%)(7.862m),26.222(26.222%)(0.667m),12.683(15.854%)(0.000m),38.674(96.685%)(3.072m),9.896(24.739%)(0.000m),None,None
10,1,-1.8687,-1.6948,0.100,99,239,0.982,30,0.00,191,126.70,0,0,69.057(86.321%)(5.256m),33.078(33.078%)(1.401m),16.819(16.819%)(0.000m),11.816(11.816%)(0.000m),8.842(11.053%)(0.000m),40.000(100.000%)(3.214m),12.753(31.882%)(0.295m),None,None
