episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
883,1,6.5560,9.8892,0.146,234,667,0.171,55,0.00,25000,383.33,0,0,24.000(30.000%)(0.429m),20.000(20.000%)(0.000m),20.000(20.000%)(0.000m),100.000(100.000%)(8.571m),62.063(77.579%)(4.507m),40.000(100.000%)(3.214m),40.000(100.000%)(3.214m),0.000,532.116
884,1,7.9983,9.8458,0.137,207,609,0.171,55,0.00,25000,329.60,0,0,42.462(53.078%)(2.407m),76.967(76.967%)(6.104m),49.000(49.000%)(3.107m),29.000(29.000%)(0.964m),22.000(27.500%)(0.214m),37.560(93.900%)(2.953m),40.000(100.000%)(3.214m),6.626,563.867
885,1,9.2790,9.8596,0.125,193,579,0.170,55,0.00,25000,297.33,0,0,41.400(51.750%)(2.293m),75.042(75.042%)(5.897m),46.000(46.000%)(2.786m),31.000(31.000%)(1.179m),22.000(27.500%)(0.214m),36.620(91.551%)(2.852m),40.000(100.000%)(3.214m),37.405,548.853
886,1,8.8362,9.8863,0.144,273,783,0.170,60,0.00,25000,379.03,0,0,24.000(30.000%)(0.429m),34.000(34.000%)(1.500m),43.287(43.287%)(2.495m),19.341(19.341%)(0.000m),11.027(13.784%)(0.000m),28.000(70.000%)(1.929m),10.122(25.304%)(0.013m),121.351,659.217
887,1,14.1324,9.9251,0.125,481,1465,0.170,85,0.00,25000,618.93,0,0,29.000(36.250%)(0.964m),20.000(20.000%)(0.000m),20.000(20.000%)(0.000m),20.000(20.000%)(0.000m),18.840(23.550%)(0.000m),21.000(52.500%)(1.179m),13.232(33.081%)(0.346m),0.000,599.129
888,1,6.0004,9.8482,0.108,499,1506,0.169,85,0.00,25000,764.19,0,0,26.000(32.500%)(0.643m),21.000(21.000%)(0.107m),20.000(20.000%)(0.000m),37.000(37.000%)(1.821m),18.154(22.693%)(0.000m),23.000(57.500%)(1.393m),12.748(31.870%)(0.294m),0.000,620.763
889,1,11.7910,9.8992,0.127,467,1435,0.169,85,0.00,25000,676.73,0,0,26.000(32.500%)(0.643m),36.000(36.000%)(1.714m),20.000(20.000%)(0.000m),20.000(20.000%)(0.000m),20.273(25.341%)(0.029m),21.000(52.500%)(1.179m),14.258(35.645%)(0.456m),0.000,584.962
890,1,10.1785,9.8929,0.156,401,1175,0.169,75,0.00,25000,530.97,0,0,19.014(23.767%)(0.000m),40.453(40.453%)(2.191m),34.000(34.000%)(1.500m),18.000(18.000%)(0.000m),20.000(25.000%)(0.000m),13.357(33.392%)(0.360m),28.000(70.000%)(1.929m),181.479,689.097
891,1,8.2120,9.9342,0.112,234,704,0.168,60,0.00,25000,319.24,0,0,11.797(14.747%)(0.000m),22.438(22.438%)(0.261m),61.000(61.000%)(4.393m),32.000(32.000%)(1.286m),21.000(26.250%)(0.107m),9.929(24.823%)(0.000m),24.000(60.000%)(1.500m),63.100,613.773
892,1,10.9979,9.9725,0.122,360,1116,0.168,75,0.00,25000,506.13,0,0,12.000(15.000%)(0.000m),37.000(37.000%)(1.821m),48.000(48.000%)(3.000m),38.000(38.000%)(1.929m),20.608(25.760%)(0.065m),11.000(27.500%)(0.107m),14.500(36.249%)(0.482m),163.085,613.653
