episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,-3.0721,-3.0721,0.000,145,356,1.000,25,0.00,15,284.48,0,0,12.031(15.039%)(0.000m),23.179(23.179%)(0.341m),67.958(67.958%)(5.138m),100.000(100.000%)(8.571m),61.598(76.997%)(4.457m),10.000(25.001%)(0.000m),40.000(100.000%)(3.214m),None,None
2,1,-5.3668,-4.2195,0.000,358,888,0.998,45,0.00,51,677.92,0,0,8.843(11.053%)(0.000m),12.468(12.468%)(0.000m),18.963(18.963%)(0.000m),32.000(32.000%)(1.286m),22.135(27.668%)(0.229m),11.334(28.334%)(0.143m),15.720(39.300%)(0.613m),629.978,1811.703
3,1,-2.5840,-3.6743,0.406,167,403,0.996,25,0.00,68,351.27,0,0,10.633(13.291%)(0.000m),17.913(17.913%)(0.000m),36.614(36.614%)(1.780m),100.000(100.000%)(8.571m),64.753(80.941%)(4.795m),10.250(25.625%)(0.027m),40.000(100.000%)(3.214m),None,None
4,1,-3.3560,-3.5947,0.439,376,927,0.994,45,0.00,106,825.39,0,0,62.107(77.633%)(4.511m),21.000(21.000%)(0.107m),20.000(20.000%)(0.000m),20.000(20.000%)(0.000m),34.145(42.681%)(1.516m),40.000(100.000%)(3.214m),24.535(61.337%)(1.557m),0.000,1561.328
5,1,-2.5982,-3.3954,0.367,160,390,0.992,25,0.00,122,377.60,0,0,12.568(15.710%)(0.000m),25.984(25.984%)(0.641m),82.152(82.152%)(6.659m),100.000(100.000%)(8.571m),64.694(80.868%)(4.789m),9.806(24.514%)(0.000m),40.000(100.000%)(3.214m),None,None
6,1,-3.6901,-3.4445,0.315,168,410,0.990,25,0.00,139,379.86,0,0,12.381(15.476%)(0.000m),24.852(24.852%)(0.520m),66.214(66.214%)(4.951m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),9.909(24.772%)(0.000m),40.000(100.000%)(3.214m),None,None
7,1,-3.3825,-3.4357,0.389,169,412,0.988,25,0.00,156,414.61,0,0,9.581(11.976%)(0.000m),14.574(14.574%)(0.000m),24.729(24.729%)(0.507m),96.000(96.000%)(8.143m),77.067(96.334%)(6.114m),10.698(26.745%)(0.075m),40.000(100.000%)(3.214m),None,None
8,1,-3.0288,-3.3848,0.347,220,545,0.986,30,0.00,178,559.35,0,0,54.192(67.740%)(3.663m),46.870(46.870%)(2.879m),19.258(19.258%)(0.000m),12.662(12.662%)(0.000m),8.980(11.225%)(0.000m),39.527(98.817%)(3.164m),11.510(28.775%)(0.162m),2040.557,2716.084
9,1,0.9514,-2.9030,0.486,187,461,0.984,30,0.00,197,462.97,0,0,9.926(12.407%)(0.000m),14.270(14.270%)(0.000m),22.277(22.277%)(0.244m),60.098(60.098%)(4.296m),70.578(88.223%)(5.419m),12.246(30.615%)(0.241m),40.000(100.000%)(3.214m),2475.771,2562.019
10,1,-5.1448,-3.1272,0.318,249,612,0.982,35,0.00,222,631.36,0,0,9.091(11.364%)(0.000m),11.521(11.521%)(0.000m),15.467(15.467%)(0.000m),26.245(26.245%)(0.669m),34.711(43.388%)(1.576m),15.086(37.716%)(0.545m),24.959(62.399%)(1.603m),2168.129,3683.892
