episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,-5.1721,-5.1721,0.000,272,663,1.000,55,0.00,28,254.73,0,0,11.197(13.996%)(0.000m),19.850(19.850%)(0.000m),45.604(45.604%)(2.743m),90.657(90.657%)(7.570m),49.554(61.942%)(3.166m),10.152(25.379%)(0.016m),36.274(90.686%)(2.815m),None,None
2,1,-1.8761,-3.5241,0.000,145,359,0.998,40,0.00,43,130.82,0,0,12.467(15.583%)(0.000m),25.774(25.774%)(0.619m),86.651(86.651%)(7.141m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),9.726(24.316%)(0.000m),40.000(100.000%)(3.214m),None,None
3,1,-3.3383,-3.4622,0.000,267,739,0.996,60,0.00,70,239.76,0,0,41.333(51.666%)(2.286m),78.452(78.452%)(6.263m),22.000(22.000%)(0.214m),21.000(21.000%)(0.107m),28.000(35.000%)(0.857m),29.691(74.227%)(2.110m),40.000(100.000%)(3.214m),0.000,1036.870
4,1,-3.4619,-3.4621,0.000,299,732,0.994,55,0.00,100,286.01,0,0,9.767(12.209%)(0.000m),14.747(14.747%)(0.000m),24.731(24.731%)(0.507m),97.051(97.051%)(8.255m),55.378(69.223%)(3.791m),11.042(27.605%)(0.112m),40.000(100.000%)(3.214m),None,None
5,1,-6.3658,-4.0428,0.435,296,732,0.992,55,0.00,130,283.60,0,0,29.946(37.433%)(1.066m),42.654(42.654%)(2.427m),19.534(19.534%)(0.000m),13.254(13.254%)(0.000m),9.634(12.043%)(0.000m),21.465(53.661%)(1.228m),13.003(32.509%)(0.322m),None,None
6,1,-2.9876,-3.8670,0.399,164,399,0.990,40,0.00,147,195.45,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),71.684(71.684%)(5.538m),23.321(23.321%)(0.356m),11.945(14.931%)(0.000m),40.000(100.000%)(3.214m),9.805(24.512%)(0.000m),None,None
7,1,-5.1066,-4.0441,0.533,378,980,0.988,65,0.00,185,503.58,0,0,26.347(32.934%)(0.680m),45.063(45.063%)(2.685m),18.516(18.516%)(0.000m),12.174(12.174%)(0.000m),8.634(10.792%)(0.000m),18.750(46.875%)(0.938m),11.066(27.666%)(0.114m),408.710,662.473
8,1,-0.9994,-3.6635,0.504,140,339,0.986,35,0.00,199,263.93,0,0,69.057(86.321%)(5.256m),100.000(100.000%)(8.571m),33.263(33.263%)(1.421m),17.218(17.218%)(0.000m),10.510(13.137%)(0.000m),40.000(100.000%)(3.214m),10.510(26.274%)(0.055m),None,None
9,1,-4.5314,-3.7599,0.532,117,282,0.984,35,0.00,211,220.03,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),78.312(78.312%)(6.248m),27.895(27.895%)(0.846m),12.859(16.073%)(0.000m),40.000(100.000%)(3.214m),9.652(24.129%)(0.000m),None,None
10,1,-2.1315,-3.5971,0.356,267,657,0.982,55,0.00,238,482.27,0,0,12.569(15.712%)(0.000m),25.987(25.987%)(0.641m),92.928(92.928%)(7.814m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),9.807(24.517%)(0.000m),40.000(100.000%)(3.214m),None,None
11,1,1.2120,-3.1599,0.273,155,392,0.980,40,0.00,254,291.78,0,0,8.667(10.834%)(0.000m),11.852(11.852%)(0.000m),17.342(17.342%)(0.000m),36.996(36.996%)(1.821m),67.642(84.553%)(5.105m),11.852(29.631%)(0.198m),40.000(100.000%)(3.214m),None,None
12,1,-5.8140,-3.3811,0.220,468,1153,0.978,70,0.00,301,797.15,0,0,10.943(13.679%)(0.000m),19.400(19.400%)(0.000m),44.571(44.571%)(2.633m),65.000(65.000%)(4.821m),43.526(54.407%)(2.521m),9.922(24.804%)(0.000m),31.601(79.001%)(2.314m),2086.936,3752.377
13,1,-3.8943,-3.4205,0.214,70,170,0.976,25,0.00,308,109.24,0,0,9.351(11.688%)(0.000m),13.184(13.184%)(0.000m),20.053(20.053%)(0.006m),48.803(48.803%)(3.086m),77.067(96.334%)(6.114m),11.985(29.962%)(0.213m),40.000(100.000%)(3.214m),None,None
14,1,-1.8983,-3.3118,0.182,223,540,0.974,50,0.00,331,394.57,0,0,10.348(12.934%)(0.000m),16.514(16.514%)(0.000m),30.381(30.381%)(1.112m),100.000(100.000%)(8.571m),61.573(76.966%)(4.454m),10.734(26.835%)(0.079m),40.000(100.000%)(3.214m),None,None
15,1,-6.7536,-3.5413,0.183,398,975,0.972,65,0.00,371,667.23,0,0,23.297(29.122%)(0.353m),32.649(32.649%)(1.355m),16.292(16.292%)(0.000m),11.370(11.370%)(0.000m),8.460(10.576%)(0.000m),16.559(41.397%)(0.703m),12.039(30.098%)(0.218m),2597.105,3277.608
