episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,-3.3317,-3.3317,0.000,79,192,1.000,25,0.00,8,68.65,0,0,77.786(97.233%)(6.191m),32.708(32.708%)(1.362m),16.631(16.631%)(0.000m),11.684(11.684%)(0.000m),8.743(10.929%)(0.000m),40.000(100.000%)(3.214m),12.610(31.525%)(0.280m),None,None
2,1,-6.0802,-4.7059,0.000,287,702,0.998,55,0.00,37,248.55,0,0,18.742(23.428%)(0.000m),38.288(38.288%)(1.959m),22.407(22.407%)(0.258m),14.352(14.352%)(0.000m),9.984(12.479%)(0.000m),13.244(33.111%)(0.348m),12.317(30.793%)(0.248m),None,None
3,1,-3.9851,-4.4657,0.000,249,620,0.996,50,0.00,62,228.68,0,0,11.672(14.590%)(0.000m),21.403(21.403%)(0.150m),53.776(53.776%)(3.619m),96.374(96.374%)(8.183m),46.615(58.269%)(2.852m),10.198(25.494%)(0.021m),33.858(84.646%)(2.556m),None,None
4,1,-2.8919,-4.0722,0.506,104,251,0.994,30,0.00,73,162.77,0,0,78.639(98.299%)(6.283m),59.133(59.133%)(4.193m),21.062(21.062%)(0.114m),13.367(13.367%)(0.000m),9.236(11.545%)(0.000m),40.000(100.000%)(3.214m),11.253(28.132%)(0.134m),None,None
5,1,-3.6697,-3.9917,0.650,79,191,0.992,25,0.00,81,111.75,0,0,78.639(98.299%)(6.283m),32.907(32.907%)(1.383m),16.732(16.732%)(0.000m),11.755(11.755%)(0.000m),8.796(10.995%)(0.000m),40.000(100.000%)(3.214m),12.686(31.716%)(0.288m),None,None
6,1,-12.1575,-5.3527,0.538,523,1287,0.990,70,0.00,134,767.58,0,0,22.203(27.754%)(0.236m),42.682(42.682%)(2.430m),19.071(19.071%)(0.000m),12.842(12.842%)(0.000m),9.279(11.599%)(0.000m),15.764(39.410%)(0.618m),12.362(30.905%)(0.253m),984.344,2373.650
7,1,-0.8572,-4.7105,0.336,270,696,0.988,55,0.00,161,405.68,0,0,50.099(62.623%)(3.225m),92.043(92.043%)(7.719m),51.562(51.562%)(3.382m),21.186(21.186%)(0.127m),11.688(14.610%)(0.000m),36.537(91.342%)(2.843m),10.339(25.847%)(0.036m),None,None
8,1,-4.5370,-4.6888,0.516,78,186,0.986,25,0.00,169,96.04,0,0,9.563(11.954%)(0.000m),14.230(14.230%)(0.000m),23.340(23.340%)(0.358m),80.019(80.019%)(6.431m),76.230(95.288%)(6.025m),11.083(27.707%)(0.116m),40.000(100.000%)(3.214m),None,None
9,1,-5.5288,-4.7821,0.551,188,455,0.984,45,0.00,188,318.90,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),31.044(31.044%)(1.183m),16.614(16.614%)(0.000m),10.322(12.902%)(0.000m),40.000(100.000%)(3.214m),10.577(26.442%)(0.062m),None,None
10,1,-4.9999,-4.8039,0.465,171,421,0.982,40,0.00,206,220.41,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),72.396(72.396%)(5.614m),25.661(25.661%)(0.607m),12.599(15.749%)(0.000m),40.000(100.000%)(3.214m),9.956(24.891%)(0.000m),None,None
