episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,1.3122,1.3122,0.000,287,746,1.000,60,0.00,29,276.41,0,0,11.217(14.022%)(0.000m),20.333(20.333%)(0.036m),49.485(49.485%)(3.159m),91.000(91.000%)(7.607m),66.000(82.500%)(4.929m),9.922(24.806%)(0.000m),40.000(100.000%)(3.214m),None,None
2,1,-2.7935,-0.7406,0.000,117,302,0.998,35,0.00,41,106.37,0,0,11.039(13.799%)(0.000m),18.598(18.598%)(0.000m),38.013(38.013%)(1.930m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.642(26.604%)(0.069m),40.000(100.000%)(3.214m),None,None
3,1,-6.3599,-2.6137,0.574,249,607,0.996,50,0.00,66,279.14,0,0,10.432(13.040%)(0.000m),16.939(16.939%)(0.000m),32.170(32.170%)(1.304m),53.915(53.915%)(3.634m),26.038(32.548%)(0.647m),10.560(26.400%)(0.060m),18.581(46.453%)(0.919m),None,None
4,1,-1.5523,-2.3484,0.652,190,484,0.994,45,0.00,85,257.67,0,0,10.375(12.968%)(0.000m),16.997(16.997%)(0.000m),32.835(32.835%)(1.375m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.375(25.937%)(0.040m),40.000(100.000%)(3.214m),None,None
5,1,-3.3468,-2.5481,0.550,288,725,0.992,55,0.00,114,370.62,0,0,9.473(11.841%)(0.000m),14.303(14.303%)(0.000m),23.987(23.987%)(0.427m),87.000(87.000%)(7.179m),58.444(73.055%)(4.119m),10.710(26.774%)(0.076m),40.000(100.000%)(3.214m),4694.623,5012.412
6,1,-3.6535,-2.7323,0.612,92,224,0.990,30,0.00,124,138.56,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),33.283(33.283%)(1.423m),17.229(17.229%)(0.000m),10.516(13.145%)(0.000m),40.000(100.000%)(3.214m),10.516(26.290%)(0.055m),None,None
7,1,-4.0925,-2.9266,0.575,87,214,0.988,30,0.00,133,101.57,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),36.933(36.933%)(1.814m),18.069(18.069%)(0.000m),10.725(13.407%)(0.000m),40.000(100.000%)(3.214m),10.339(25.848%)(0.036m),None,None
8,1,-3.1028,-2.9486,0.635,124,309,0.986,35,0.00,146,164.42,0,0,10.795(13.493%)(0.000m),18.363(18.363%)(0.000m),38.324(38.324%)(1.963m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),10.279(25.698%)(0.030m),40.000(100.000%)(3.214m),None,None
9,1,-2.1566,-2.8606,0.589,431,1056,0.984,65,0.00,190,611.12,0,0,12.613(15.766%)(0.000m),26.370(26.370%)(0.683m),69.264(69.264%)(5.278m),76.000(76.000%)(6.000m),67.836(84.795%)(5.125m),9.715(24.288%)(0.000m),40.000(100.000%)(3.214m),2738.697,3897.845
10,1,-4.1719,-2.9918,0.691,63,153,0.982,20,0.00,197,73.23,0,0,8.545(10.682%)(0.000m),11.172(11.172%)(0.000m),15.509(15.509%)(0.000m),28.533(28.533%)(0.914m),77.067(96.334%)(6.114m),13.018(32.544%)(0.323m),40.000(100.000%)(3.214m),None,None
