episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,-0.2194,-0.2194,0.000,199,513,1.000,30,0.00,20,388.41,0,0,13.663(17.079%)(0.000m),29.682(29.682%)(1.037m),100.000(100.000%)(8.571m),100.000(100.000%)(8.571m),64.000(80.000%)(4.714m),9.593(23.982%)(0.000m),40.000(100.000%)(3.214m),None,None
2,1,-2.0518,-1.1356,0.000,120,301,0.998,20,0.00,32,250.94,0,0,77.786(97.233%)(6.191m),96.140(96.140%)(8.158m),24.499(24.499%)(0.482m),14.609(14.609%)(0.000m),9.675(12.094%)(0.000m),40.000(100.000%)(3.214m),10.938(27.345%)(0.101m),None,None
3,1,-3.2158,-1.8290,0.413,365,906,0.996,45,0.00,69,774.86,0,0,10.776(13.470%)(0.000m),17.654(17.654%)(0.000m),34.105(34.105%)(1.511m),48.000(48.000%)(3.000m),29.000(36.250%)(0.964m),10.776(26.940%)(0.083m),40.000(100.000%)(3.214m),2191.161,3304.413
4,1,1.8714,-0.9039,0.601,248,627,0.994,35,0.00,94,682.52,0,0,9.550(11.937%)(0.000m),14.638(14.638%)(0.000m),25.143(25.143%)(0.551m),64.000(64.000%)(4.714m),53.000(66.250%)(3.536m),10.533(26.332%)(0.057m),40.000(100.000%)(3.214m),2680.442,4263.649
5,1,-2.3360,-1.1903,0.815,130,317,0.992,20,0.00,107,350.64,0,0,69.057(86.321%)(5.256m),100.000(100.000%)(8.571m),25.828(25.828%)(0.624m),15.401(15.401%)(0.000m),10.200(12.750%)(0.000m),40.000(100.000%)(3.214m),11.532(28.829%)(0.164m),None,None
6,1,-1.4477,-1.2332,0.916,284,710,0.990,35,0.00,136,779.57,0,0,9.728(12.161%)(0.000m),15.148(15.148%)(0.000m),26.698(26.698%)(0.718m),54.000(54.000%)(3.643m),49.000(61.250%)(3.107m),10.470(26.174%)(0.050m),40.000(100.000%)(3.214m),833.066,2622.967
7,1,-4.6572,-1.7223,0.972,71,171,0.988,15,0.00,144,180.77,0,0,9.211(11.514%)(0.000m),12.988(12.988%)(0.000m),19.754(19.754%)(0.000m),48.076(48.076%)(3.008m),77.067(96.334%)(6.114m),11.806(29.516%)(0.194m),40.000(100.000%)(3.214m),None,None
8,1,-0.3289,-1.5482,0.823,166,431,0.986,25,0.00,161,438.73,0,0,10.509(13.136%)(0.000m),17.877(17.877%)(0.000m),37.309(37.309%)(1.855m),90.000(90.000%)(7.500m),67.642(84.553%)(5.105m),10.007(25.018%)(0.001m),40.000(100.000%)(3.214m),2357.063,2385.961
9,1,-0.9642,-1.4833,0.521,189,469,0.984,30,0.00,180,467.49,0,0,11.436(14.295%)(0.000m),20.729(20.729%)(0.078m),50.451(50.451%)(3.263m),90.000(90.000%)(7.500m),67.666(84.582%)(5.107m),10.116(25.290%)(0.012m),40.000(100.000%)(3.214m),None,None
10,1,-4.2828,-1.7632,0.328,77,185,0.982,15,0.00,188,192.89,0,0,9.116(11.395%)(0.000m),12.853(12.853%)(0.000m),19.549(19.549%)(0.000m),47.577(47.577%)(2.955m),77.067(96.334%)(6.114m),11.684(29.210%)(0.180m),40.000(100.000%)(3.214m),None,None
11,1,-0.3337,-1.6333,0.290,246,612,0.980,35,0.00,213,667.06,0,0,11.147(13.933%)(0.000m),19.348(19.348%)(0.000m),42.247(42.247%)(2.384m),62.000(62.000%)(4.500m),57.824(72.280%)(4.053m),10.358(25.894%)(0.038m),40.000(100.000%)(3.214m),1526.529,2337.613
12,1,-1.3557,-1.6101,0.225,112,279,0.978,20,0.00,225,309.49,0,0,69.057(86.321%)(5.256m),100.000(100.000%)(8.571m),33.734(33.734%)(1.471m),17.462(17.462%)(0.000m),10.658(13.323%)(0.000m),40.000(100.000%)(3.214m),10.658(26.646%)(0.071m),None,None
13,1,-5.9950,-1.9474,0.265,387,959,0.976,45,0.00,264,921.88,0,0,9.134(11.418%)(0.000m),13.131(13.131%)(0.000m),20.500(20.500%)(0.054m),24.000(24.000%)(0.429m),24.000(30.000%)(0.429m),11.269(28.173%)(0.136m),28.521(71.303%)(1.984m),169.532,1682.429
14,1,-3.8688,-2.0847,0.282,87,213,0.974,15,0.00,273,227.05,0,0,11.303(14.129%)(0.000m),20.488(20.488%)(0.052m),49.863(49.863%)(3.200m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),9.998(24.995%)(0.000m),40.000(100.000%)(3.214m),None,None
15,1,-6.8928,-2.4052,0.226,345,860,0.972,40,0.00,308,913.73,0,0,21.000(26.250%)(0.107m),25.000(25.000%)(0.536m),31.000(31.000%)(1.179m),40.000(40.000%)(2.143m),38.868(48.585%)(2.022m),35.090(87.726%)(2.688m),40.000(100.000%)(3.214m),6.275,2121.490
16,1,-0.8549,-2.3083,0.246,177,445,0.970,30,0.00,326,457.91,0,0,72.030(90.038%)(5.575m),87.000(87.000%)(7.179m),43.776(43.776%)(2.547m),19.560(19.560%)(0.000m),11.152(13.940%)(0.000m),40.000(100.000%)(3.214m),10.236(25.590%)(0.025m),1956.775,2100.897
17,1,-3.2083,-2.3613,0.289,191,478,0.968,30,0.00,346,503.16,0,0,11.725(14.656%)(0.000m),21.499(21.499%)(0.161m),53.603(53.603%)(3.600m),93.000(93.000%)(7.821m),61.763(77.204%)(4.475m),10.244(25.609%)(0.026m),40.000(100.000%)(3.214m),None,None
18,1,-3.7060,-2.4360,0.247,155,380,0.967,25,0.00,362,415.33,0,0,10.059(12.573%)(0.000m),15.187(15.187%)(0.000m),25.469(25.469%)(0.586m),99.948(99.948%)(8.566m),61.804(77.256%)(4.479m),11.371(28.429%)(0.147m),40.000(100.000%)(3.214m),None,None
19,1,3.2777,-2.1353,0.241,210,523,0.965,30,0.00,383,540.28,0,0,72.100(90.125%)(5.582m),73.000(73.000%)(5.679m),26.125(26.125%)(0.656m),15.578(15.578%)(0.000m),10.317(12.897%)(0.000m),40.000(100.000%)(3.214m),11.664(29.160%)(0.178m),2663.569,3561.030
20,1,-3.9793,-2.2275,0.202,98,241,0.963,20,0.00,393,272.00,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),32.763(32.763%)(1.367m),16.959(16.959%)(0.000m),10.352(12.940%)(0.000m),40.000(100.000%)(3.214m),10.352(25.879%)(0.038m),None,None
21,1,-3.1071,-2.2693,0.229,133,328,0.961,20,0.00,407,365.71,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),34.354(34.354%)(1.538m),17.783(17.783%)(0.000m),10.855(13.568%)(0.000m),40.000(100.000%)(3.214m),10.855(27.136%)(0.092m),None,None
22,1,-1.8935,-2.2523,0.219,106,270,0.959,20,0.00,418,283.65,0,0,12.088(15.109%)(0.000m),23.599(23.599%)(0.386m),63.432(63.432%)(4.653m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),9.922(24.804%)(0.000m),40.000(100.000%)(3.214m),None,None
23,1,-7.0902,-2.4626,0.243,358,888,0.957,45,0.00,454,919.99,0,0,66.416(83.020%)(4.973m),54.000(54.000%)(3.643m),20.000(20.000%)(0.000m),20.000(20.000%)(0.000m),31.586(39.483%)(1.241m),40.000(100.000%)(3.214m),22.666(56.665%)(1.357m),0.000,1744.845
24,1,-4.2752,-2.5381,0.251,118,285,0.955,20,0.00,466,313.38,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),25.378(25.378%)(0.576m),14.775(14.775%)(0.000m),9.639(12.049%)(0.000m),40.000(100.000%)(3.214m),10.631(26.578%)(0.068m),None,None
25,1,-4.1720,-2.6035,0.315,151,370,0.953,25,0.00,482,404.16,0,0,77.786(97.233%)(6.191m),93.448(93.448%)(7.869m),25.575(25.575%)(0.597m),15.424(15.424%)(0.000m),10.291(12.863%)(0.000m),40.000(100.000%)(3.214m),11.779(29.447%)(0.191m),None,None
26,1,-0.7254,-2.5312,0.231,367,933,0.951,45,0.00,519,913.98,0,0,29.407(36.759%)(1.008m),60.812(60.812%)(4.373m),56.000(56.000%)(3.857m),21.000(21.000%)(0.107m),12.000(15.000%)(0.000m),21.066(52.665%)(1.186m),10.000(25.000%)(0.000m),581.210,2055.322
27,1,-2.2443,-2.5206,0.232,109,270,0.949,20,0.00,530,298.93,0,0,10.026(12.532%)(0.000m),15.252(15.252%)(0.000m),25.879(25.879%)(0.630m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),11.195(27.988%)(0.128m),40.000(100.000%)(3.214m),None,None
28,1,-2.8813,-2.5335,0.255,103,255,0.947,20,0.00,541,269.60,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),31.233(31.233%)(1.204m),16.977(16.977%)(0.000m),10.638(13.297%)(0.000m),40.000(100.000%)(3.214m),11.035(27.588%)(0.111m),None,None
29,1,0.1366,-2.4414,0.223,219,560,0.945,30,0.00,563,585.00,0,0,11.460(14.325%)(0.000m),20.772(20.772%)(0.083m),50.555(50.555%)(3.274m),64.000(64.000%)(4.714m),56.000(70.000%)(3.857m),10.137(25.342%)(0.015m),40.000(100.000%)(3.214m),1614.856,1829.073
30,1,-3.7536,-2.4852,0.274,82,202,0.944,15,0.00,572,210.68,0,0,10.893(13.616%)(0.000m),17.845(17.845%)(0.000m),34.475(34.475%)(1.551m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.893(27.231%)(0.096m),40.000(100.000%)(3.214m),None,None
31,1,-2.1906,-2.4757,0.264,318,805,0.942,40,0.00,604,791.41,0,0,32.000(40.000%)(1.286m),48.000(48.000%)(3.000m),33.921(33.921%)(1.492m),17.559(17.559%)(0.000m),10.718(13.397%)(0.000m),31.775(79.437%)(2.333m),10.718(26.794%)(0.077m),1136.327,1743.068
32,1,-3.2356,-2.4994,0.227,118,291,0.940,20,0.00,616,301.95,0,0,10.112(12.640%)(0.000m),15.268(15.268%)(0.000m),25.605(25.605%)(0.601m),100.000(100.000%)(8.571m),67.642(84.553%)(5.105m),11.432(28.580%)(0.153m),40.000(100.000%)(3.214m),None,None
33,1,-2.2062,-2.4905,0.227,198,507,0.938,30,0.00,636,495.14,0,0,9.827(12.284%)(0.000m),14.838(14.838%)(0.000m),24.883(24.883%)(0.523m),70.000(70.000%)(5.357m),63.000(78.750%)(4.607m),11.110(27.775%)(0.119m),40.000(100.000%)(3.214m),1890.164,2597.642
34,1,-3.7914,-2.5288,0.218,258,627,0.936,35,0.00,662,674.92,0,0,44.939(56.173%)(2.672m),54.926(54.926%)(3.742m),21.125(21.125%)(0.121m),13.653(13.653%)(0.000m),9.560(11.950%)(0.000m),32.752(81.881%)(2.438m),11.945(29.862%)(0.208m),2931.404,4164.963
35,1,-2.9751,-2.5415,0.210,133,345,0.934,25,0.00,676,338.00,0,0,10.015(12.518%)(0.000m),15.121(15.121%)(0.000m),25.358(25.358%)(0.574m),87.000(87.000%)(7.179m),77.067(96.334%)(6.114m),11.322(28.305%)(0.142m),40.000(100.000%)(3.214m),None,None
36,1,-4.8072,-2.6045,0.257,89,215,0.932,15,0.00,685,215.64,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),33.692(33.692%)(1.467m),17.131(17.131%)(0.000m),10.362(12.952%)(0.000m),40.000(100.000%)(3.214m),10.236(25.590%)(0.025m),None,None
37,1,-2.7207,-2.6076,0.224,109,264,0.930,20,0.00,696,296.27,0,0,9.981(12.476%)(0.000m),15.070(15.070%)(0.000m),25.273(25.273%)(0.565m),99.177(99.177%)(8.483m),76.230(95.288%)(6.025m),11.284(28.209%)(0.138m),40.000(100.000%)(3.214m),None,None
38,1,-2.1810,-2.5964,0.257,171,414,0.929,25,0.00,714,446.79,0,0,12.700(15.875%)(0.000m),26.256(26.256%)(0.670m),100.000(100.000%)(8.571m),100.000(100.000%)(8.571m),67.642(84.553%)(5.105m),9.908(24.771%)(0.000m),40.000(100.000%)(3.214m),None,None
39,1,-4.6477,-2.6490,0.269,191,475,0.927,30,0.00,734,491.12,0,0,78.639(98.299%)(6.283m),89.000(89.000%)(7.393m),52.418(52.418%)(3.473m),20.922(20.922%)(0.099m),11.410(14.262%)(0.000m),40.000(100.000%)(3.214m),9.969(24.921%)(0.000m),None,None
40,1,-3.8505,-2.6790,0.281,251,613,0.925,35,0.00,760,631.88,0,0,11.586(14.482%)(0.000m),21.244(21.244%)(0.133m),53.043(53.043%)(3.540m),84.000(84.000%)(6.857m),71.000(88.750%)(5.464m),10.122(25.305%)(0.013m),40.000(100.000%)(3.214m),None,None
41,1,-3.3452,-2.6953,0.260,191,463,0.923,30,0.00,780,488.70,0,0,10.217(12.772%)(0.000m),15.427(15.427%)(0.000m),25.871(25.871%)(0.629m),93.000(93.000%)(7.821m),67.642(84.553%)(5.105m),11.551(28.877%)(0.166m),40.000(100.000%)(3.214m),None,None
42,1,0.4858,-2.6195,0.319,283,723,0.921,40,0.00,809,879.14,0,0,10.509(13.136%)(0.000m),16.234(16.234%)(0.000m),28.238(28.238%)(0.883m),40.000(40.000%)(2.143m),34.000(42.500%)(1.500m),11.449(28.623%)(0.155m),40.000(100.000%)(3.214m),404.366,2032.429
43,1,-2.0921,-2.6073,0.271,112,276,0.919,20,0.00,821,331.76,0,0,77.786(97.233%)(6.191m),96.672(96.672%)(8.215m),24.635(24.635%)(0.497m),14.689(14.689%)(0.000m),9.729(12.161%)(0.000m),40.000(100.000%)(3.214m),10.999(27.497%)(0.107m),None,None
44,1,-2.9763,-2.6157,0.358,221,560,0.918,30,0.00,844,610.98,0,0,61.000(76.250%)(4.393m),73.000(73.000%)(5.679m),32.808(32.808%)(1.372m),16.983(16.983%)(0.000m),10.366(12.958%)(0.000m),40.000(100.000%)(3.214m),10.366(25.915%)(0.039m),1944.831,2146.717
45,1,-4.0041,-2.6465,0.303,155,378,0.916,25,0.00,860,386.68,0,0,78.639(98.299%)(6.283m),99.000(99.000%)(8.464m),60.996(60.996%)(4.392m),23.086(23.086%)(0.331m),11.983(14.979%)(0.000m),40.000(100.000%)(3.214m),9.960(24.900%)(0.000m),None,None
46,1,-4.3226,-2.6829,0.322,166,411,0.914,25,0.00,877,532.25,0,0,9.895(12.368%)(0.000m),14.320(14.320%)(0.000m),22.563(22.563%)(0.275m),63.347(63.347%)(4.644m),54.884(68.605%)(3.738m),12.055(30.137%)(0.220m),40.000(100.000%)(3.214m),None,None
47,1,-3.3001,-2.6961,0.335,295,772,0.912,40,0.00,907,841.73,0,0,37.000(46.250%)(1.821m),50.000(50.000%)(3.214m),81.144(81.144%)(6.551m),29.748(29.748%)(1.044m),13.241(16.551%)(0.000m),40.000(100.000%)(3.214m),9.683(24.206%)(0.000m),None,None
48,1,-4.4744,-2.7331,0.329,106,258,0.910,20,0.00,918,315.02,0,0,10.314(12.892%)(0.000m),16.897(16.897%)(0.000m),32.643(32.643%)(1.355m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),10.314(25.785%)(0.034m),40.000(100.000%)(3.214m),None,None
49,1,-0.6463,-2.6905,0.307,157,406,0.908,25,0.00,934,425.22,0,0,59.052(73.816%)(4.184m),89.000(89.000%)(7.393m),30.653(30.653%)(1.141m),16.662(16.662%)(0.000m),10.440(13.050%)(0.000m),40.000(100.000%)(3.214m),10.830(27.075%)(0.089m),1466.736,1651.824
50,1,-2.1635,-2.6800,0.309,118,310,0.907,20,0.00,946,299.42,0,0,10.907(13.634%)(0.000m),17.870(17.870%)(0.000m),34.521(34.521%)(1.556m),100.000(100.000%)(8.571m),64.694(80.868%)(4.789m),10.907(27.268%)(0.097m),40.000(100.000%)(3.214m),None,None
51,1,-3.1956,-2.7395,0.438,163,403,0.905,25,0.00,963,435.56,0,0,78.639(98.299%)(6.283m),99.000(99.000%)(8.464m),38.431(38.431%)(1.975m),18.802(18.802%)(0.000m),11.161(13.951%)(0.000m),40.000(100.000%)(3.214m),10.759(26.897%)(0.081m),None,None
52,1,-1.4716,-2.7279,0.390,245,638,0.903,35,0.00,988,650.52,0,0,10.593(13.241%)(0.000m),16.627(16.627%)(0.000m),29.709(29.709%)(1.040m),57.000(57.000%)(3.964m),36.000(45.000%)(1.714m),11.261(28.152%)(0.135m),40.000(100.000%)(3.214m),None,None
