episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
947,1,12.0162,16.1781,0.218,563,1516,0.150,80,0.32,43547,882.87,0,0,23.076(28.845%)(0.330m),48.042(48.042%)(3.005m),20.000(20.000%)(0.000m),22.000(22.000%)(0.214m),32.294(40.367%)(1.317m),16.382(40.954%)(0.684m),23.000(57.500%)(1.393m),0.000,1266.402
948,1,18.1142,16.3062,0.295,1266,3354,0.150,95,0.32,43674,1680.31,0,0,17.428(21.785%)(0.000m),36.622(36.622%)(1.781m),32.000(32.000%)(1.286m),22.928(22.928%)(0.314m),12.055(15.069%)(0.000m),12.300(30.751%)(0.246m),10.146(25.365%)(0.016m),401.422,1373.421
949,1,21.1917,16.4434,0.219,568,1519,0.150,80,0.32,43731,717.17,0,0,36.000(45.000%)(1.714m),44.000(44.000%)(2.571m),31.000(31.000%)(1.179m),23.000(23.000%)(0.321m),22.000(27.500%)(0.214m),26.000(65.000%)(1.714m),17.287(43.218%)(0.781m),0.000,1754.326
950,1,17.3438,16.6121,0.213,1025,2779,0.150,95,0.32,43834,1640.31,0,0,19.020(23.775%)(0.000m),21.000(21.000%)(0.107m),26.000(26.000%)(0.643m),31.000(31.000%)(1.179m),17.947(22.434%)(0.000m),13.362(33.406%)(0.360m),12.631(31.579%)(0.282m),0.000,1052.836
951,1,13.2056,16.4818,0.274,576,1675,0.149,85,0.32,43892,782.76,0,0,9.855(12.319%)(0.000m),14.880(14.880%)(0.000m),24.954(24.954%)(0.531m),34.000(34.000%)(1.500m),15.000(18.750%)(0.000m),11.141(27.853%)(0.122m),11.000(27.500%)(0.107m),207.897,875.096
952,1,14.4806,16.3953,0.222,788,2261,0.149,95,0.32,43971,1121.80,0,0,17.000(21.250%)(0.000m),20.000(20.000%)(0.000m),43.000(43.000%)(2.464m),30.000(30.000%)(1.071m),19.190(23.987%)(0.000m),11.000(27.500%)(0.107m),13.483(33.707%)(0.373m),0.000,1332.950
953,1,31.7672,16.5287,0.275,1155,3199,0.149,100,0.42,44087,1802.83,1,1,22.099(27.624%)(0.225m),36.000(36.000%)(1.714m),40.000(40.000%)(2.143m),33.000(33.000%)(1.393m),15.890(19.862%)(0.000m),15.608(39.020%)(0.601m),11.158(27.895%)(0.124m),109.814,1406.517
954,1,20.4161,16.7469,0.255,854,2298,0.148,90,0.42,44173,1265.45,0,0,10.085(12.606%)(0.000m),15.961(15.961%)(0.000m),28.929(28.929%)(0.957m),30.000(30.000%)(1.071m),17.609(22.011%)(0.000m),10.590(26.476%)(0.063m),12.430(31.074%)(0.260m),69.600,1742.009
955,1,14.7433,16.9656,0.252,691,1862,0.148,85,0.42,44243,1093.57,0,0,29.000(36.250%)(0.964m),51.000(51.000%)(3.321m),33.000(33.000%)(1.393m),26.000(26.000%)(0.643m),15.442(19.303%)(0.000m),22.000(55.000%)(1.286m),10.869(27.173%)(0.093m),155.973,1447.162
956,1,17.2911,17.0685,0.278,516,1407,0.148,80,0.42,44295,824.56,0,0,20.000(25.000%)(0.000m),33.000(33.000%)(1.393m),34.000(34.000%)(1.500m),20.000(20.000%)(0.000m),20.168(25.210%)(0.018m),21.000(52.500%)(1.179m),14.187(35.466%)(0.449m),0.000,1293.044
957,1,21.8144,17.1494,0.256,798,2286,0.148,95,0.42,44375,1311.32,0,0,15.789(19.736%)(0.000m),22.000(22.000%)(0.214m),32.000(32.000%)(1.286m),40.000(40.000%)(2.143m),26.000(32.500%)(0.643m),11.063(27.657%)(0.114m),18.000(45.000%)(0.857m),0.000,1177.224
958,1,18.5041,17.2756,0.301,822,2333,0.147,95,0.42,44458,1273.27,0,0,14.643(18.303%)(0.000m),31.252(31.252%)(1.206m),20.000(20.000%)(0.000m),20.000(20.000%)(0.000m),18.596(23.245%)(0.000m),10.290(25.725%)(0.031m),13.083(32.708%)(0.330m),0.000,1205.404
959,1,20.5870,17.3376,0.261,882,2462,0.147,95,0.42,44547,1271.73,0,0,15.615(19.519%)(0.000m),20.000(20.000%)(0.000m),23.000(23.000%)(0.321m),38.000(38.000%)(1.929m),18.237(22.797%)(0.000m),10.935(27.337%)(0.100m),12.858(32.146%)(0.306m),0.000,1327.398
960,1,28.0820,17.5766,0.271,1123,3128,0.147,100,0.52,44660,1634.83,1,1,17.636(22.045%)(0.000m),27.000(27.000%)(0.750m),30.000(30.000%)(1.071m),31.000(31.000%)(1.179m),16.551(20.688%)(0.000m),12.418(31.046%)(0.259m),11.666(29.166%)(0.179m),50.176,1339.427
961,1,13.5305,17.3798,0.346,504,1323,0.146,75,0.52,44711,730.99,0,0,11.548(14.435%)(0.000m),21.964(21.964%)(0.210m),47.000(47.000%)(2.893m),42.000(42.000%)(2.357m),34.000(42.500%)(1.500m),9.720(24.299%)(0.000m),23.000(57.500%)(1.393m),728.571,2919.346
962,1,7.5397,16.9921,0.290,472,1278,0.146,75,0.52,44759,708.32,0,0,12.813(16.016%)(0.000m),27.283(27.283%)(0.780m),50.000(50.000%)(3.214m),43.000(43.000%)(2.464m),30.000(37.500%)(1.071m),9.743(24.358%)(0.000m),21.000(52.500%)(1.179m),709.747,1534.890
