episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,-2.0347,-2.0347,0.000,174,427,1.000,40,0.00,18,158.97,0,0,72.081(90.102%)(5.580m),100.000(100.000%)(8.571m),49.918(49.918%)(3.206m),20.511(20.511%)(0.055m),11.316(14.144%)(0.000m),40.000(100.000%)(3.214m),10.009(25.023%)(0.001m),None,None
2,1,-3.7749,-2.9048,0.000,99,244,0.998,30,0.00,28,86.73,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),25.655(25.655%)(0.606m),15.119(15.119%)(0.000m),9.939(12.424%)(0.000m),40.000(100.000%)(3.214m),11.098(27.746%)(0.118m),None,None
3,1,-4.1686,-3.3261,0.000,92,225,0.996,30,0.00,38,85.90,0,0,9.496(11.869%)(0.000m),13.388(13.388%)(0.000m),20.363(20.363%)(0.039m),49.559(49.559%)(3.167m),77.067(96.334%)(6.114m),12.171(30.426%)(0.233m),40.000(100.000%)(3.214m),None,None
4,1,-4.1460,-3.5310,0.000,68,166,0.994,25,0.00,45,58.19,0,0,78.639(98.299%)(6.283m),81.930(81.930%)(6.635m),23.897(23.897%)(0.418m),14.570(14.570%)(0.000m),9.792(12.240%)(0.000m),40.000(100.000%)(3.214m),11.347(28.369%)(0.144m),None,None
5,1,-6.0019,-4.0252,0.000,223,550,0.992,50,0.00,68,202.05,0,0,33.102(41.377%)(1.404m),40.191(40.191%)(2.163m),17.958(17.958%)(0.000m),12.093(12.093%)(0.000m),8.737(10.922%)(0.000m),23.822(59.555%)(1.481m),11.641(29.101%)(0.176m),None,None
6,1,-3.3867,-3.9188,0.000,86,209,0.990,25,0.00,77,77.24,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),40.877(40.877%)(2.237m),18.720(18.720%)(0.000m),10.785(13.481%)(0.000m),40.000(100.000%)(3.214m),10.022(25.054%)(0.002m),None,None
7,1,-3.5480,-3.8658,0.000,205,518,0.988,50,0.00,98,189.93,0,0,11.299(14.123%)(0.000m),19.413(19.413%)(0.000m),41.415(41.415%)(2.294m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.628(26.571%)(0.067m),40.000(100.000%)(3.214m),None,None
8,1,-4.7414,-3.9753,0.000,83,199,0.986,25,0.00,107,72.33,0,0,9.466(11.832%)(0.000m),13.608(13.608%)(0.000m),21.245(21.245%)(0.133m),57.313(57.313%)(3.998m),77.067(96.334%)(6.114m),11.679(29.196%)(0.180m),40.000(100.000%)(3.214m),None,None
9,1,-3.2419,-3.8938,0.000,88,220,0.984,30,0.00,116,79.95,0,0,9.619(12.024%)(0.000m),13.738(13.738%)(0.000m),21.256(21.256%)(0.135m),55.267(55.267%)(3.779m),77.067(96.334%)(6.114m),12.019(30.047%)(0.216m),40.000(100.000%)(3.214m),None,None
10,1,-2.8529,-3.7897,0.000,87,214,0.982,30,0.00,125,76.58,0,0,9.073(11.341%)(0.000m),12.792(12.792%)(0.000m),19.457(19.457%)(0.000m),47.353(47.353%)(2.931m),76.230(95.288%)(6.025m),11.629(29.072%)(0.175m),40.000(100.000%)(3.214m),None,None
