episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1229,1,18.9064,24.6533,0.206,1008,2708,0.086,75,0.00,64498,2442.98,0,0,21.000(26.250%)(0.107m),38.000(38.000%)(1.929m),29.000(29.000%)(0.964m),24.000(24.000%)(0.429m),18.894(23.617%)(0.000m),15.000(37.500%)(0.536m),13.324(33.311%)(0.356m),9.583,1653.425
1230,1,30.0927,24.7370,0.235,1335,3699,0.085,85,0.00,64632,3177.58,0,0,21.202(26.502%)(0.129m),20.000(20.000%)(0.000m),37.000(37.000%)(1.821m),29.000(29.000%)(0.964m),19.160(23.949%)(0.000m),14.981(37.453%)(0.534m),13.510(33.775%)(0.376m),0.000,1131.181
1231,1,32.6965,24.5071,0.222,1414,3855,0.085,85,0.00,64774,3341.21,0,0,11.518(14.397%)(0.000m),20.877(20.877%)(0.094m),39.000(39.000%)(2.036m),31.000(31.000%)(1.179m),19.203(24.004%)(0.000m),10.188(25.470%)(0.020m),13.539(33.848%)(0.379m),165.842,1752.814
1232,1,18.7536,24.2610,0.233,863,2413,0.085,75,0.00,64861,2048.47,0,0,12.000(15.000%)(0.000m),21.000(21.000%)(0.107m),38.000(38.000%)(1.929m),32.000(32.000%)(1.286m),22.057(27.571%)(0.220m),15.666(39.164%)(0.607m),15.564(38.911%)(0.596m),242.195,1326.804
1233,1,40.7628,24.7706,0.227,1491,4040,0.085,90,0.00,65011,3554.68,0,0,15.000(18.750%)(0.000m),21.000(21.000%)(0.107m),23.000(23.000%)(0.321m),27.000(27.000%)(0.750m),23.921(29.902%)(0.420m),11.000(27.500%)(0.107m),16.983(42.458%)(0.748m),0.000,1380.162
1234,1,42.1387,25.2267,0.215,1421,3884,0.085,90,0.00,65154,3478.35,0,0,15.600(19.500%)(0.000m),21.000(21.000%)(0.107m),20.000(20.000%)(0.000m),28.000(28.000%)(0.857m),24.482(30.602%)(0.480m),10.956(27.391%)(0.102m),17.392(43.481%)(0.792m),0.000,1104.419
1235,1,22.0795,25.3193,0.234,892,2484,0.085,75,0.00,65244,2096.10,0,0,11.000(13.750%)(0.000m),18.000(18.000%)(0.000m),41.000(41.000%)(2.250m),35.000(35.000%)(1.607m),23.820(29.774%)(0.409m),15.677(39.193%)(0.608m),16.933(42.333%)(0.743m),150.409,1098.011
1236,1,28.7233,25.0680,0.208,1006,2701,0.084,75,0.00,65345,2411.88,0,0,15.696(19.620%)(0.000m),32.000(32.000%)(1.286m),26.000(26.000%)(0.643m),22.000(22.000%)(0.214m),19.582(24.477%)(0.000m),11.046(27.615%)(0.112m),13.790(34.475%)(0.406m),0.000,1186.499
1237,1,33.7222,25.2822,0.218,1432,3910,0.084,90,0.00,65489,3462.37,0,0,17.017(21.272%)(0.000m),27.000(27.000%)(0.750m),21.000(21.000%)(0.107m),23.000(23.000%)(0.321m),21.396(26.745%)(0.150m),12.004(30.010%)(0.215m),15.136(37.841%)(0.550m),0.000,1377.440
1238,1,37.8359,25.6040,0.213,1807,4872,0.084,90,0.00,65670,4285.34,0,0,9.815(12.269%)(0.000m),14.820(14.820%)(0.000m),24.853(24.853%)(0.520m),31.000(31.000%)(1.179m),22.940(28.675%)(0.315m),9.614(24.036%)(0.000m),16.291(40.727%)(0.674m),105.741,1129.907
1239,1,37.2745,25.6232,0.210,1344,3718,0.084,85,0.00,65805,3219.42,0,0,20.546(25.683%)(0.059m),24.000(24.000%)(0.429m),38.000(38.000%)(1.929m),27.000(27.000%)(0.750m),22.756(28.445%)(0.295m),14.503(36.258%)(0.482m),16.149(40.373%)(0.659m),0.000,1177.392
1240,1,33.9244,26.0898,0.210,1288,3597,0.084,85,0.00,65934,3073.58,0,0,20.000(25.000%)(0.000m),20.000(20.000%)(0.000m),20.000(20.000%)(0.000m),30.000(30.000%)(1.071m),21.356(26.694%)(0.145m),14.000(35.000%)(0.429m),15.108(37.770%)(0.547m),0.000,938.704
1241,1,16.8997,25.7968,0.221,652,1805,0.084,65,0.00,66000,1613.90,0,0,21.668(27.085%)(0.179m),29.000(29.000%)(0.964m),34.000(34.000%)(1.500m),20.000(20.000%)(0.000m),25.000(31.250%)(0.536m),15.261(38.154%)(0.564m),25.000(62.500%)(1.607m),0.000,1215.663
1242,1,19.2552,26.0359,0.217,692,1890,0.083,65,0.00,66070,1719.97,0,0,23.000(28.750%)(0.321m),21.000(21.000%)(0.107m),24.000(24.000%)(0.429m),34.000(34.000%)(1.500m),25.000(31.250%)(0.536m),17.312(43.280%)(0.783m),20.000(50.000%)(1.071m),0.000,1219.941
1243,1,41.9542,26.3978,0.227,2512,6815,0.083,100,0.08,66322,5926.12,1,1,17.577(21.971%)(0.000m),33.000(33.000%)(1.393m),35.000(35.000%)(1.607m),34.000(34.000%)(1.500m),17.278(21.598%)(0.000m),12.336(30.841%)(0.250m),12.141(30.352%)(0.229m),224.060,1418.204
1244,1,40.7712,26.5944,0.211,1401,3835,0.083,85,0.08,66463,3348.15,0,0,12.254(15.318%)(0.000m),24.958(24.958%)(0.531m),25.000(25.000%)(0.536m),23.000(23.000%)(0.321m),23.000(28.750%)(0.321m),9.684(24.209%)(0.000m),17.782(44.455%)(0.834m),66.632,1187.429
1245,1,31.8949,26.5470,0.218,1410,3865,0.083,90,0.08,66604,3352.46,0,0,20.007(25.009%)(0.001m),20.000(20.000%)(0.000m),22.000(22.000%)(0.214m),29.000(29.000%)(0.964m),19.077(23.846%)(0.000m),14.102(35.256%)(0.440m),13.437(33.591%)(0.368m),0.000,1361.376
1246,1,18.1327,26.4805,0.211,719,1969,0.083,70,0.08,66676,1778.65,0,0,25.314(31.643%)(0.569m),38.000(38.000%)(1.929m),42.000(42.000%)(2.357m),25.671(25.671%)(0.608m),12.605(15.756%)(0.000m),17.918(44.794%)(0.848m),9.960(24.901%)(0.000m),307.923,1802.296
