episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
1,1,-3.3255,-3.3255,0.000,141,342,1.000,25,0.00,15,288.44,0,0,77.786(97.233%)(6.191m),100.000(100.000%)(8.571m),32.771(32.771%)(1.368m),17.255(17.255%)(0.000m),10.626(13.283%)(0.000m),40.000(100.000%)(3.214m),10.757(26.893%)(0.081m),None,None
2,1,-4.0569,-3.6912,0.000,340,851,0.998,40,0.00,49,669.44,0,0,50.933(63.666%)(3.314m),20.000(20.000%)(0.000m),20.000(20.000%)(0.000m),21.000(21.000%)(0.107m),19.385(24.231%)(0.000m),37.112(92.781%)(2.905m),13.710(34.275%)(0.398m),0.000,2055.890
3,1,-2.2404,-3.2076,0.376,355,887,0.996,45,0.00,85,811.47,0,0,38.384(47.980%)(1.970m),63.000(63.000%)(4.607m),62.084(62.084%)(4.509m),22.815(22.815%)(0.302m),11.842(14.803%)(0.000m),27.758(69.395%)(1.903m),9.843(24.608%)(0.000m),1218.437,2805.199
4,1,-2.4870,-3.0275,0.577,147,358,0.994,25,0.00,100,364.27,0,0,11.349(14.186%)(0.000m),19.905(19.905%)(0.000m),44.548(44.548%)(2.630m),100.000(100.000%)(8.571m),64.694(80.868%)(4.789m),10.416(26.041%)(0.045m),40.000(100.000%)(3.214m),None,None
5,1,0.6480,-2.2924,0.681,168,420,0.992,25,0.00,117,441.80,0,0,66.167(82.709%)(4.946m),53.762(53.762%)(3.617m),20.677(20.677%)(0.073m),13.364(13.364%)(0.000m),9.357(11.696%)(0.000m),40.000(100.000%)(3.214m),11.692(29.229%)(0.181m),None,None
6,1,-3.5349,-2.4994,0.560,371,949,0.990,45,0.00,155,933.16,0,0,17.438(21.798%)(0.000m),36.706(36.706%)(1.790m),71.000(71.000%)(5.464m),26.000(26.000%)(0.643m),13.000(16.250%)(0.000m),12.283(30.709%)(0.245m),10.000(25.000%)(0.000m),1959.558,2990.926
7,1,-3.6747,-2.6673,0.441,100,246,0.988,20,0.00,165,243.22,0,0,78.639(98.299%)(6.283m),96.692(96.692%)(8.217m),24.640(24.640%)(0.497m),14.693(14.693%)(0.000m),9.731(12.164%)(0.000m),40.000(100.000%)(3.214m),11.001(27.503%)(0.107m),None,None
8,1,-2.3997,-2.6339,0.362,270,681,0.986,35,0.00,192,685.14,0,0,52.000(65.000%)(3.429m),60.000(60.000%)(4.286m),26.256(26.256%)(0.670m),15.657(15.657%)(0.000m),10.369(12.962%)(0.000m),40.000(100.000%)(3.214m),11.723(29.307%)(0.185m),997.589,3033.210
9,1,-2.8243,-2.6551,0.206,142,351,0.984,25,0.00,207,348.55,0,0,10.576(13.220%)(0.000m),17.649(17.649%)(0.000m),35.368(35.368%)(1.647m),100.000(100.000%)(8.571m),77.067(96.334%)(6.114m),10.321(25.802%)(0.034m),40.000(100.000%)(3.214m),None,None
10,1,-4.0597,-2.7955,0.301,273,686,0.982,35,0.00,235,685.29,0,0,41.999(52.499%)(2.357m),61.000(61.000%)(4.393m),36.690(36.690%)(1.788m),17.950(17.950%)(0.000m),10.655(13.319%)(0.000m),30.422(76.056%)(2.188m),10.271(25.679%)(0.029m),1874.347,2792.514
