episode,stage,reward,avg_reward,MSE,timeframe,steps,epsilon,progress_pct,success_rate,Buffer,time_ms,streak,reached_finish,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc
377,1,8.5336,4.4340,0.100,332,1010,0.471,75,0.00,9923,417.48,0,0,18.345(22.931%)(0.000m),20.000(20.000%)(0.000m),19.000(19.000%)(0.000m),33.000(33.000%)(1.393m),23.000(28.750%)(0.321m),12.877(32.193%)(0.308m),24.000(60.000%)(1.500m),0.000,550.036
378,1,3.0880,4.4378,0.103,341,892,0.470,65,0.00,9958,467.54,0,0,11.201(14.001%)(0.000m),20.303(20.303%)(0.032m),49.412(49.412%)(3.151m),66.000(66.000%)(4.929m),48.000(60.000%)(3.000m),9.908(24.769%)(0.000m),40.000(100.000%)(3.214m),1025.335,1485.626
379,1,7.5058,4.5213,0.094,438,1308,0.469,80,0.00,10002,611.22,0,0,15.450(19.312%)(0.000m),33.349(33.349%)(1.430m),85.000(85.000%)(6.964m),83.085(83.085%)(6.759m),23.000(28.750%)(0.321m),10.820(27.050%)(0.088m),12.000(30.000%)(0.214m),430.694,776.808
380,1,7.5012,4.5573,0.090,340,1027,0.468,75,0.00,10036,476.13,0,0,34.000(42.500%)(1.500m),21.000(21.000%)(0.107m),20.000(20.000%)(0.000m),21.000(21.000%)(0.107m),15.631(19.539%)(0.000m),30.000(75.000%)(2.143m),10.946(27.365%)(0.101m),0.000,635.985
381,1,-3.8653,4.4399,0.089,163,399,0.467,40,0.00,10053,208.97,0,0,78.639(98.299%)(6.283m),100.000(100.000%)(8.571m),78.867(78.867%)(6.307m),24.360(24.360%)(0.467m),12.308(15.385%)(0.000m),40.000(100.000%)(3.214m),9.976(24.940%)(0.000m),None,None
382,1,1.0063,4.2837,0.082,134,381,0.466,40,0.00,10067,243.02,0,0,10.238(12.797%)(0.000m),16.773(16.773%)(0.000m),32.403(32.403%)(1.329m),100.000(100.000%)(8.571m),76.230(95.288%)(6.025m),10.238(25.595%)(0.025m),40.000(100.000%)(3.214m),None,None
383,1,5.4833,4.2284,0.084,431,1223,0.465,75,0.00,10111,614.33,0,0,20.399(25.499%)(0.043m),20.000(20.000%)(0.000m),20.000(20.000%)(0.000m),20.000(20.000%)(0.000m),30.000(37.500%)(1.071m),14.405(36.013%)(0.472m),22.000(55.000%)(1.286m),0.000,1055.144
384,1,3.3459,4.2531,0.104,224,661,0.465,60,0.00,10134,317.22,0,0,40.000(50.000%)(2.143m),65.000(65.000%)(4.821m),60.801(60.801%)(4.372m),22.288(22.288%)(0.245m),11.719(14.648%)(0.000m),40.000(100.000%)(3.214m),9.863(24.658%)(0.000m),640.558,855.373
385,1,3.3672,4.3089,0.098,393,1143,0.464,75,0.00,10174,537.86,0,0,35.000(43.750%)(1.607m),21.000(21.000%)(0.107m),19.000(19.000%)(0.000m),20.000(20.000%)(0.000m),22.837(28.547%)(0.304m),25.000(62.500%)(1.607m),16.113(40.282%)(0.655m),0.000,548.178
386,1,6.6943,4.2719,0.087,244,711,0.463,60,0.00,10199,362.83,0,0,10.571(13.214%)(0.000m),17.319(17.319%)(0.000m),33.458(33.458%)(1.442m),42.000(42.000%)(2.357m),27.000(33.750%)(0.750m),10.571(26.428%)(0.061m),40.000(100.000%)(3.214m),221.931,721.178
387,1,5.2668,4.1923,0.084,244,688,0.462,60,0.00,10224,384.89,0,0,65.861(82.326%)(4.914m),100.000(100.000%)(8.571m),20.000(20.000%)(0.000m),20.000(20.000%)(0.000m),56.368(70.460%)(3.897m),40.000(100.000%)(3.214m),40.000(100.000%)(3.214m),0.000,584.369
388,1,7.0180,4.1949,0.098,372,969,0.461,65,0.00,10262,551.35,0,0,22.000(27.500%)(0.214m),26.000(26.000%)(0.643m),34.000(34.000%)(1.500m),72.078(72.078%)(5.580m),43.193(53.992%)(2.485m),30.102(75.255%)(2.154m),40.000(100.000%)(3.214m),0.000,1138.741
389,1,5.1827,4.1980,0.083,294,875,0.460,65,0.00,10292,392.78,0,0,29.000(36.250%)(0.964m),46.000(46.000%)(2.786m),71.049(71.049%)(5.469m),23.114(23.114%)(0.334m),11.839(14.799%)(0.000m),26.000(65.000%)(1.714m),9.718(24.295%)(0.000m),333.653,765.419
390,1,5.2275,4.1536,0.101,262,785,0.459,65,0.00,10319,373.02,0,0,11.014(13.767%)(0.000m),19.525(19.525%)(0.000m),44.858(44.858%)(2.663m),76.000(76.000%)(6.000m),35.000(43.750%)(1.607m),9.986(24.964%)(0.000m),26.000(65.000%)(1.714m),1019.673,1305.443
391,1,6.1284,4.1317,0.088,323,992,0.458,70,0.00,10352,514.59,0,0,28.000(35.000%)(0.857m),50.000(50.000%)(3.214m),58.000(58.000%)(4.071m),28.000(28.000%)(0.857m),21.114(26.393%)(0.119m),25.000(62.500%)(1.607m),14.871(37.177%)(0.522m),0.000,619.478
