episode,close distance,MSE,Reward,Avg reward,time,timeframe,steps,min_R2,min_R1,min_F,min_L1,min_L2,min_SR,min_SL,min_ttc,avg_ttc,reached_finish,progress_pct
29,7,0.000,30.470,23.932,6766,410,1287,24.298(30.372%)(0.460m),50.932(50.932%)(3.314m),52.000(52.000%)(3.429m),36.000(36.000%)(1.714m),23.000(28.750%)(0.321m),17.183(42.956%)(0.770m),20.000(50.000%)(1.071m),109.046,579.545,True,100.000
30,96,0.000,26.790,24.027,6782,410,1287,25.000(31.250%)(0.536m),37.000(37.000%)(1.821m),58.000(58.000%)(4.071m),48.071(48.071%)(3.008m),22.863(28.579%)(0.307m),24.000(60.000%)(1.500m),16.141(40.353%)(0.658m),148.415,599.042,True,100.000
31,9,0.000,33.270,24.325,6809,410,1287,24.348(30.434%)(0.466m),51.031(51.031%)(3.325m),50.000(50.000%)(3.214m),37.000(37.000%)(1.821m),24.000(30.000%)(0.429m),17.219(43.047%)(0.773m),21.000(52.500%)(1.179m),130.307,651.202,True,100.000
32,9,0.000,33.270,24.605,6781,410,1287,24.348(30.434%)(0.466m),51.031(51.031%)(3.325m),50.000(50.000%)(3.214m),37.000(37.000%)(1.821m),24.000(30.000%)(0.429m),17.219(43.047%)(0.773m),21.000(52.500%)(1.179m),130.307,651.202,True,100.000
33,18,0.000,18.960,24.434,7044,427,1330,24.348(30.434%)(0.466m),36.000(36.000%)(1.714m),50.000(50.000%)(3.214m),37.000(37.000%)(1.821m),24.000(30.000%)(0.429m),17.195(42.987%)(0.771m),21.000(52.500%)(1.179m),130.307,632.104,True,100.000
34,36,0.000,20.970,24.332,6945,420,1313,24.348(30.434%)(0.466m),36.000(36.000%)(1.714m),50.000(50.000%)(3.214m),37.000(37.000%)(1.821m),21.000(26.250%)(0.107m),17.195(42.987%)(0.771m),15.000(37.500%)(0.536m),130.307,640.363,True,100.000
35,9,0.000,33.270,24.587,6781,410,1287,24.348(30.434%)(0.466m),51.031(51.031%)(3.325m),50.000(50.000%)(3.214m),37.000(37.000%)(1.821m),24.000(30.000%)(0.429m),17.219(43.047%)(0.773m),21.000(52.500%)(1.179m),130.307,651.202,True,100.000
36,38,0.000,25.450,24.611,7552,456,1396,24.000(30.000%)(0.429m),30.000(30.000%)(1.071m),35.000(35.000%)(1.607m),37.000(37.000%)(1.821m),23.460(29.325%)(0.371m),17.195(42.987%)(0.771m),16.597(41.492%)(0.707m),102.618,588.439,True,100.000
37,8,0.000,21.010,24.514,6947,419,1313,23.000(28.750%)(0.321m),35.000(35.000%)(1.607m),51.000(51.000%)(3.321m),39.000(39.000%)(2.036m),23.289(29.111%)(0.352m),25.000(62.500%)(1.607m),16.440(41.101%)(0.690m),101.524,632.681,True,100.000
38,8,0.000,33.670,24.755,6831,413,1294,23.000(28.750%)(0.321m),35.000(35.000%)(1.607m),51.000(51.000%)(3.321m),48.114(48.114%)(3.012m),23.289(29.111%)(0.352m),25.000(62.500%)(1.607m),16.462(41.155%)(0.692m),101.524,639.901,True,100.000
39,8,0.000,33.670,24.984,6827,413,1294,23.000(28.750%)(0.321m),35.000(35.000%)(1.607m),51.000(51.000%)(3.321m),48.114(48.114%)(3.012m),23.289(29.111%)(0.352m),25.000(62.500%)(1.607m),16.462(41.155%)(0.692m),101.524,639.901,True,100.000
40,8,0.000,25.630,25.000,6864,416,1303,23.000(28.750%)(0.321m),35.000(35.000%)(1.607m),51.000(51.000%)(3.321m),34.000(34.000%)(1.500m),23.000(28.750%)(0.321m),20.000(50.000%)(1.071m),16.440(41.101%)(0.690m),90.796,608.169,True,100.000
41,34,0.000,28.610,25.088,8351,504,1500,23.000(28.750%)(0.321m),35.000(35.000%)(1.607m),36.000(36.000%)(1.714m),31.000(31.000%)(1.179m),23.289(29.111%)(0.352m),16.726(41.814%)(0.721m),16.440(41.101%)(0.690m),101.524,610.829,True,100.000
42,8,0.000,33.670,25.292,6827,413,1294,23.000(28.750%)(0.321m),35.000(35.000%)(1.607m),51.000(51.000%)(3.321m),48.114(48.114%)(3.012m),23.289(29.111%)(0.352m),25.000(62.500%)(1.607m),16.462(41.155%)(0.692m),101.524,639.901,True,100.000
